edad,,Hombre,,,Mujer,,,Total,
Grupo ,NO ,% ,Tasa (#) ,N ,% ,Tasa (#) ,NO ,% ,Tasa (#) 
00 04 anos ,3 ,1 ,0.5 ,7 ,2 ,1.2 ,10 ,1 ,0.8 
05 09 anos ,1 ,0 ,0.2 ,4 ,1 ,0.6 ,5 ,1 ,0.4 
10 14 anos ,6 ,1 ,0.9 ,2 ,O ,0.3 ,8 ,1 ,0.6 
15 19 anos ,8 ,2 ,1.2 ,12 ,3 ,1.9 ,20 ,2 ,1.6 
20 24 anos ,22 ,5 ,3.0 ,39 ,9 ,5.5 ,61 ,7 ,4.2 
25 29 anos ,51 ,12 ,6.1 ,62 ,14 ,7.6 ,113 ,12 ,6.9 
30 34 anos ,73 ,17 ,9.0 ,67 ,15 ,8.5 ,140 ,15 ,8.8 
35 39 anos ,65 ,15 ,9.0 ,65 ,15 ,9.2 ,130 ,14 ,9.1 
40 44 anos ,54 ,13 ,8.0 ,52 ,12 ,7.7 ,106 ,11 ,7.9 
45 49 anos ,43 ,10 ,6.8 ,41 ,9 ,6.4 ,84 ,9 ,6.6 
50 54 anos ,28 ,7 ,4.7 ,27 ,6 ,4.3 ,55 ,6 ,4.5 
55 59 anos ,25 ,6 ,4.5 ,24 ,5 ,4.1 ,49 ,5 ,4.3 
60 64 anos ,13 ,3 ,2.8 ,22 ,5 ,4.2 ,35 ,4 ,3.5 
65 69 anos ,11 ,3 ,2.9 ,8 ,2 ,1.8 ,19 ,2 ,2.3 
70 74 anos ,13 ,3 ,4.9 ,4 ,1 ,1.3 ,17 ,2 ,2.9 
75 79 anos ,6 ,1 ,3.4 ,5 ,1 ,2.1 ,11 ,1 ,2.7 
80 y mas anos ,2 ,0 ,1.0 ,2 ,O ,0.6 ,4 ,O ,0.7 
En inves estigacior ,,,,,,,55 ,,
