,,,,,,,,,NumerodeCasos,segunFechade,IniciodeSintomas.,Notificacion,oTomade,Muestra,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE SE 13 14 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE 22 ,SE 23 ,SE 24 ,SE SE 25 26 
Algarrobo ,15174 ,96 ,632.7 ,6 ,39.5 ,10 ,65.9 ,10 ,65.9 ,0 0 1 4 ,4 0 O 0 ,2 4 ,6 13 ,10 ,7 ,19 ,16 ,6 4 
Cabildo ,20663 ,149 ,721.1 ,2 ,9.7 ,55 ,266.2 ,55 ,266.2 ,0 0 0 0 ,0 0 0 0 ,5 3 ,4 6 ,7 ,16 ,20 ,33 ,27 28 
Calera ,53591 ,285 ,531.8 ,5 ,9.3 ,90 ,167.9 ,90 ,167.9 ,0 0 O 1 ,6 2 4 7 ,2 2 ,7 18 ,20 ,22 ,49 ,55 ,69 21 
Calle Larga ,16482 ,165 ,1001.1 ,0 ,0.0 ,36 ,218.4 ,36 ,218.4 ,1 0 O 0 ,0 2 3 1 ,O 4 ,3 9 ,29 ,27 ,27 ,23 ,27 9 
Cartagena& ,25357 ,121 ,477.2 ,2 ,7.9 ,26 ,102.5 ,26 ,102.5 ,0 0 0 0 ,0 2 0 1 ,5 5 ,12 7 ,17 ,10 ,15 ,21 ,17 9 
Casablanca ,29170 ,127 ,435.4 ,O ,0.0 ,39 ,133.7 ,39 ,133.7 ,0 0 0 2 ,0 1 1 0 ,0 0 ,9 9 ,9 ,13 ,21 ,23 ,21 18 
Catemu ,15213 ,71 ,466.7 ,1 ,6.6 ,15 ,98.6 ,15 ,98.6 ,0 0 O 1 ,0 0 O 0 ,O 1 ,1 7 ,3 ,14 ,15 ,14 ,3 12 
Con Con& ,45889 ,255 ,555.7 ,4 ,8.7 ,62 ,135.1 ,61 ,132.9 ,0 0 O 3 ,6 1 1 0 ,12 6 ,9 16 ,19 ,26 ,52 ,42 ,43 19 
EI Quisco ,17742 ,108 ,608.7 ,3 ,16.9 ,10 ,56.4 ,10 ,56.4 ,0 0 O 1 ,O 4 2 4 ,0 5 ,9 14 ,15 ,15 ,18 ,11 ,7 3 
EI Tabo ,14338 ,128 ,892.7 ,4 ,27.9 ,20 ,139.5 ,20 ,139.5 ,0 O O O ,5 0 2 3 ,3 4 ,7 6 ,16 ,26 ,17 ,19 ,12 8 
Hijuelas ,19099 ,84 ,439.8 ,3 ,15.7 ,25 ,130.9 ,24 ,125.7 ,O 0 O O ,0 0 1 0 ,O 0 ,0 8 ,10 ,15 ,11 ,14 ,19 6 
Isla de Pascua ,8277 ,5 ,60.4 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 O 2 ,1 2 0 0 ,O 0 ,0 0 ,0 ,0 ,0 ,0 ,0 O 
Juan Fernandez ,1033 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O O ,O 0 O O ,O O ,0 O ,O ,0 ,O ,0 ,O O 
La Cruz& ,25321 ,87 ,343.6 ,1 ,3.9 ,15 ,59.2 ,15 ,59.2 ,0 1 O 1 ,2 3 1 0 ,1 8 ,7 4 ,5 ,12 ,15 ,12 ,9 6 
La Ligua& ,37739 ,187 ,495.5 ,4 ,10.6 ,44 ,116.6 ,44 ,116.6 ,0 0 O 1 ,1 1 0 1 ,0 1 ,2 10 ,17 ,26 ,32 ,51 ,32 12 
Limache& ,49931 ,453 ,907.3 ,7 ,14.0 ,125 ,250.3 ,124 ,248.3 ,0 0 O 3 ,O 5 9 6 ,1 7 ,24 31 ,24 ,37 ,84 ,97 ,99 26 
Llaillay ,26533 ,186 ,701.0 ,4 ,15.1 ,40 ,150.8 ,40 ,150.8 ,0 0 O 1 ,1 0 O 0 ,1 2 ,5 29 ,23 ,25 ,35 ,24 ,28 12 
Los Andes& ,68093 ,663 ,973.7 ,19 ,27.9 ,132 ,193.9 ,132 ,193.9 ,0 0 O 2 ,2 0 3 0 ,2 10 ,21 57 ,84 ,95 ,140 ,115 ,99 33 
Nogales& ,23490 ,68 ,289.5 ,0 ,0.0 ,18 ,76.6 ,18 ,76.6 ,0 0 O O ,O O O O ,0 2 ,4 6 ,6 ,6 ,11 ,15 ,16 2 
Olmue& ,19266 ,71 ,368.5 ,2 ,10.4 ,12 ,62.3 ,12 ,62.3 ,O O O O ,O 1 1 O ,O O ,2 5 ,11 ,7 ,12 ,20 ,9 3 
