,,,,,,Numerode,CasossegunFecha,deIniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE 15 16 ,SE SE SE SE 17 18 19 20 ,SE SE 21 22 
Bulnes ,22607 ,169 ,747.6 ,37 ,163.7 ,37 ,163.7 ,O O O ,10 27 10 ,7 7 ,6 9 23 43 ,21 6 
Chillan ,198624 ,582 ,293.0 ,92 ,46.3 ,92 ,46.3 ,O 1 28 ,119 116 76 ,33 25 ,17 15 20 62 ,51 19 
Chillan Viejo ,33827 ,97 ,286.8 ,27 ,79.8 ,27 ,79.8 ,O O 5 ,7 19 7 ,14 3 ,1 0 4 16 ,20 1 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O ,O O 0 O ,O O 
Coelemu ,16845 ,18 ,106.9 ,13 ,77.2 ,13 ,77.2 ,O O O ,O 2 2 ,O O ,O O 0 2 ,6 6 
Coihueco ,28375 ,53 ,186.8 ,5 ,17.6 ,5 ,17.6 ,O O O ,2 3 4 ,6 12 ,12 3 1 8 ,1 1 
EI Carmen ,12334 ,16 ,129.7 ,9 ,73.0 ,9 ,73.0 ,O O O ,2 O 1 ,O O ,O O 1 3 ,5 4 
Ninhue ,5414 ,6 ,110.8 ,1 ,18.5 ,O ,0.0 ,O O O ,O O 2 ,O 2 ,O O 0 1 ,1 O 
Niquen ,11567 ,9 ,77.8 ,4 ,34.6 ,4 ,34.6 ,O 0 O ,O 0 1 ,2 O ,0 O 0 4 ,2 O 
Pemuco ,8639 ,11 ,127.3 ,1 ,11.6 ,1 ,11.6 ,0 0 0 ,1 O 4 ,1 0 ,0 0 3 1 ,0 1 
Pinto ,11880 ,15 ,126.3 ,2 ,16.8 ,2 ,16.8 ,O O O ,2 3 5 ,1 1 ,O O O 3 ,O O 
Portezuelo ,4940 ,7 ,141.7 ,2 ,40.5 ,2 ,40.5 ,O O O ,O O O ,O O ,O O 1 4 ,2 O 
Quillon ,18777 ,53 ,282.3 ,16 ,85.2 ,16 ,85.2 ,O O 0 ,8 8 8 ,1 O ,2 2 2 9 ,6 7 
Quirihue ,12192 ,17 ,139.4 ,1 ,8.2 ,1 ,8.2 ,0 O 0 ,O 1 2 ,0 1 ,O 1 7 4 ,0 1 
Ranquil ,6261 ,10 ,159.7 ,O ,0.0 ,0 ,0.0 ,0 O O ,1 3 6 ,0 O ,O O O 0 ,O O 
San Carlos ,56252 ,67 ,119.1 ,20 ,35.6 ,20 ,35.6 ,O O 2 ,5 10 9 ,2 3 ,3 3 5 9 ,11 5 
San Fabian ,4654 ,8 ,171.9 ,0 ,0.0 ,0 ,0.0 ,O O O ,3 3 1 ,O 1 ,0 O 0 0 ,O O 
San Ignacio ,16624 ,24 ,144.4 ,11 ,66.2 ,11 ,66.2 ,0 O O ,2 2 1 ,O 1 ,3 3 O 2 ,7 3 
San Nicolas ,12172 ,26 ,213.6 ,6 ,49.3 ,6 ,49.3 ,O O O ,2 6 4 ,4 O ,O O 2 2 ,5 1 
Treguaco ,5696 ,1 ,17.6 ,1 ,17.6 ,1 ,17.6 ,O O O ,O 0 O ,0 O ,O O 0 1 ,0 O 
