,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Task 
00 04 anos ,7 ,1 ,1.2 ,12 ,1 ,2.1 ,19 ,1 ,1.6 
05 09 anos ,7 ,1 ,1.1 ,12 ,1 ,1.9 ,19 ,1 ,1.5 
10 14 anos ,12 ,1 ,1.9 ,13 ,1 ,2.1 ,25 ,1 ,2.0 
15 19 anos ,26 ,2 ,4.1 ,32 ,2 ,5.2 ,58 ,2 ,4.6 
20 24 anos ,72 ,5 ,9.8 ,93 ,7 ,13.1 ,165 ,6 ,11.4 
25 - 29 anos ,147 ,11 ,17.6 ,172 ,13 ,21.2 ,319 ,12 ,19.3 
30 34 anos ,188 ,14 ,23.2 ,205 ,15 ,26.1 ,393 ,14 ,24.6 
35 39 anos ,174 ,13 ,24.0 ,163 ,12 ,23.0 ,337 ,12 ,23.5 
40 44 anos ,157 ,11 ,23.2 ,154 ,11 ,22.9 ,311 ,11 ,23.1 
45 49 anos ,139 ,10 ,22.0 ,134 ,10 ,20.9 ,273 ,10 ,21.5 
50 54 anos ,117 ,9 ,19.5 ,110 ,8 ,17.6 ,227 ,8 ,18.5 
55 59 anos ,107 ,8 ,19.3 ,89 ,6 ,15.1 ,196 ,7 ,17.1 
60 64 anos ,78 ,6 ,16.6 ,70 ,5 ,13.5 ,148 ,5 ,15.0 
65 69 anos ,50 ,4 ,13.2 ,45 ,3 ,10.3 ,95 ,3 ,11.7 
70 74 anos ,41 ,3 ,15.5 ,32 ,2 ,10.0 ,73 ,3 ,12.5 
75 - 79 anos ,25 ,2 ,14.2 ,22 ,2 ,9.3 ,47 ,2 ,11.4 
80 y mas anos ,22 ,2 ,11.2 ,17 ,1 ,4.9 ,39 ,1 ,7.1 
Total ,1369 ,,14.3 ,1375 ,,13.9 ,2744 ,,14.1 
