,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE 9 10 11 12 13 14 15 ,SE 16 ,,,SE SE SE 17 18 19 
Cauquenes ,44143 ,20 ,45.3 ,7 ,15.9 ,7 ,15.9 ,O O O O 2 3 1 ,5 ,,,2 1 3 
Chanco ,9331 ,3 ,32.2 ,O ,0.0 ,O ,0.0 ,O O O O 1 O O ,1 ,,,1 O O 
Colbun ,22565 ,10 ,44.3 ,4 ,17.7 ,4 ,17.7 ,O O O O 3 3 O ,0 ,,,O 1 2 
Constitucion ,50348 ,26 ,51.6 ,3 ,6.0 ,3 ,6.0 ,O 0 O O 3 3 5 ,7 ,,,4 1 2 
Curepto ,9426 ,9 ,95.5 ,O ,0.0 ,O ,0.0 ,O O O O O 3 2 ,3 ,,,O 1 O 
Curico& ,163626 ,63 ,38.5 ,13 ,7.9 ,13 ,7.9 ,O 1 2 3 6 3 12 ,9 ,,,10 8 6 
Empedrado ,4206 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,0 ,,,O O O 
Hualane ,10222 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,O ,,,O O O 
Licanten ,6989 ,2 ,28.6 ,O ,0.0 ,O ,0.0 ,O O O O O 1 O ,1 ,,,O O O 
Linares ,101073 ,46 ,45.5 ,17 ,16.8 ,17 ,16.8 ,1 O O 2 5 5 4 ,6 ,,,3 4 14 
Longav ,32810 ,10 ,30.5 ,5 ,15.2 ,5 ,15.2 ,O O O 1 O 1 1 ,1 ,,,O 2 4 
Maule& ,60000 ,28 ,46.7 ,4 ,6.7 ,4 ,6.7 ,O O O 1 1 2 6 ,12 ,,,2 O 2 
Molina ,49800 ,8 ,16.1 ,1 ,2.0 ,1 ,2.0 ,O O O 1 2 O 1 ,3 ,,,O O 1 
Parral ,44544 ,11 ,24.7 ,2 ,4.5 ,2 ,4.5 ,0 O 0 1 3 2 2 ,1 ,,,O 0 2 
Pelarco ,9083 ,13 ,143.1 ,8 ,88.1 ,8 ,88.1 ,O 0 O O 0 O 3 ,2 ,,,O 2 4 
Pelluhue ,8092 ,5 ,61.8 ,3 ,37.1 ,3 ,37.1 ,O 0 O 1 0 O 1 ,0 ,,,O O 1 
Pencahue ,8601 ,3 ,34.9 ,O ,0.0 ,O ,0.0 ,O O O O O O O ,3 ,,,O O O 
Rauco ,11248 ,2 ,17.8 ,O ,0.0 ,O ,0.0 ,O O O O 1 1 O ,O ,,,O O O 
Retiro ,21071 ,2 ,9.5 ,1 ,4.7 ,1 ,4.7 ,O O O O O 0 1 ,O ,,,0 1 O 
Rio Claro ,14753 ,11 ,74.6 ,2 ,13.6 ,2 ,13.6 ,O 0 O 2 O 1 1 ,3 ,,,2 O 2 
