,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE 14 ,SE SE 15 16 ,SE SE SE 17 18 19 
Angol ,56058 ,112 ,199.8 ,18 ,32.1 ,18 ,32.1 ,O 1 1 ,3 10 ,10 ,15 34 ,27 8 3 
Carahue& ,25486 ,35 ,137.3 ,3 ,11.8 ,3 ,11.8 ,O O O ,O 3 ,10 ,9 7 ,5 1 O 
Cholchol8 ,12341 ,4 ,32.4 ,O ,0.0 ,0 ,0.0 ,O O 0 ,1 2 ,O ,O 1 ,0 O 0 
Collipulli8 ,26148 ,6 ,22.9 ,O ,0.0 ,0 ,0.0 ,O O O ,O O ,1 ,1 1 ,3 O 0 
Cunco ,18055 ,6 ,33.2 ,1 ,5.5 ,1 ,5.5 ,O O O ,O 3 ,2 ,O O ,O O 1 
Curacautin ,18178 ,6 ,33.0 ,1 ,5.5 ,1 ,5.5 ,O O O ,2 O ,2 ,O O ,2 O O 
Curarrehue ,7802 ,4 ,51.3 ,O ,0.0 ,O ,0.0 ,O O 1 ,1 2 ,O ,O O ,O O O 
Ercilla& ,8458 ,11 ,130.1 ,1 ,11.8 ,1 ,11.8 ,O O O ,O O ,4 ,1 4 ,1 1 0 
Freire ,25446 ,7 ,27.5 ,O ,0.0 ,O ,0.0 ,O O O ,2 3 ,0 ,0 2 ,0 O 0 
Galvarino& ,12633 ,4 ,31.7 ,1 ,7.9 ,1 ,7.9 ,O O 0 ,1 1 ,1 ,0 O ,0 1 0 
Gorbea ,15148 ,13 ,85.8 ,1 ,6.6 ,1 ,6.6 ,O O 1 ,4 4 ,1 ,O 2 ,O O 1 
Lautaro8 ,40746 ,45 ,110.4 ,7 ,17.2 ,7 ,17.2 ,1 O O ,6 3 ,14 ,6 6 ,2 4 3 
Loncoche& ,24739 ,20 ,80.8 ,2 ,8.1 ,2 ,8.1 ,O O O ,2 3 ,2 ,5 3 ,3 1 1 
Lonquimay ,11049 ,5 ,45.3 ,5 ,45.3 ,5 ,45.3 ,O O O ,O O ,O ,O 0 ,2 2 1 
Los Sauces ,7517 ,1 ,13.3 ,O ,0.0 ,0 ,0.0 ,O O O ,O O ,O ,O 1 ,O O 0 
Lumaco ,10050 ,7 ,69.7 ,1 ,10.0 ,1 ,10.0 ,O O O ,O O ,O ,O 4 ,2 1 O 
Melipeuco ,6265 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O ,O O ,O O O 
Nueva Imperial8 ,33777 ,41 ,121.4 ,2 ,5.9 ,2 ,5.9 ,O O 0 ,5 9 ,3 ,12 7 ,3 1 1 
Padre Las Casas& ,82110 ,100 ,121.8 ,2 ,2.4 ,2 ,2.4 ,O O O ,11 27 ,21 ,15 15 ,10 O 1 
Perquenco ,7223 ,5 ,69.2 ,O ,0.0 ,O ,0.0 ,O O O ,1 1 ,O ,O 3 ,O O O 
Pitrufquen8 ,26096 ,18 ,69.0 ,O ,0.0 ,0 ,0.0 ,O O 0 ,4 8 ,4 ,O 2 ,0 0 0 
Pucon ,29782 ,16 ,53.7 ,2 ,6.7 ,2 ,6.7 ,O O 1 ,3 O ,4 ,3 1 ,3 O 1 
