,,,,,,Numerode,Casossegun,FechadeInicio,deSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE SE SE SE SE SE SE SE 12 13 14 15 16 17 18 19 20 21 
Corral ,5447 ,11 ,201.9 ,8 ,146.9 ,8 ,146.9 ,O O O ,O O O O 1 O O 6 4 O 
Futrono ,15261 ,15 ,98.3 ,10 ,65.5 ,10 ,65.5 ,O O O ,1 3 1 O O O O 1 5 4 
La Union & ,39538 ,42 ,106.2 ,2 ,5.1 ,2 ,5.1 ,O O 1 ,5 8 4 6 9 4 2 1 2 0 
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,O ,0.0 ,O O O ,1 1 0 O 0 O O O O O 
Lanco ,17652 ,9 ,51.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 1 2 1 2 O 3 O O O 
Los Lagos ,20518 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 0 O O O O O O O O 
Mafil ,7389 ,3 ,40.6 ,1 ,13.5 ,1 ,13.5 ,O O O ,1 0 O O 1 O O O 1 O 
Mariquina ,23250 ,14 ,60.2 ,4 ,17.2 ,4 ,17.2 ,O O O ,3 1 4 1 O O O 2 1 2 
Paillaco ,20798 ,4 ,19.2 ,3 ,14.4 ,3 ,14.4 ,O O O ,1 0 O O O O O O 1 2 
Panguipulli ,35991 ,3 ,8.3 ,2 ,5.6 ,2 ,5.6 ,O O O ,O 0 0 O O O 1 O 2 O 
Rio Bueno & ,32925 ,13 ,39.5 ,1 ,3.0 ,1 ,3.0 ,O O O ,3 1 2 2 1 2 1 O O 1 
Valdivia & ,176774 ,147 ,83.2 ,24 ,13.6 ,24 ,13.6 ,O 1 1 ,25 32 25 18 8 8 4 2 6 17 
Total ,405835 ,263 ,64.8 ,55 ,13.6 ,55 ,13.6 ,0 1 2 ,40 47 38 28 22 14 11 12 22 26 
