,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE 14 15 ,SE 16 ,SE 17 ,SE SE 18 19 ,SE SE SE SE 20 21 22 23 
Antartica ,137 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O ,O ,O O ,0 O O O 
Cabo de Hornos ,1983 ,22 ,1109.4 ,1 ,50.4 ,1 ,50.4 ,O 0 2 7 ,7 ,1 2 ,O ,0 ,0 2 ,0 1 O O 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O O ,O ,O O ,O ,O ,O O ,0 O O O 
Natales ,23782 ,13 ,54.7 ,1 ,4.2 ,1 ,4.2 ,O O 1 3 ,2 ,O 2 ,O ,O ,2 O ,2 1 O O 
Porvenir ,7323 ,9 ,122.9 ,O ,0.0 ,0 ,0.0 ,0 0 O O ,3 ,1 2 ,2 ,O ,O 1 ,0 O O O 
Primavera ,694 ,1 ,144.1 ,0 ,0.0 ,0 ,0.0 ,0 0 0 O ,0 ,0 1 ,0 ,0 ,0 O ,0 0 0 0 
Punta Arenas ,141984 ,1009 ,710.6 ,52 ,36.6 ,52 ,36.6 ,2 1 6 62 ,121 ,148 154 ,132 ,84 ,107 81 ,51 46 14 0 
Rio Verde ,211 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O ,O ,O O ,O ,O ,O O ,O O O O 
San Gregorio ,681 ,2 ,293.7 ,0 ,0.0 ,O ,0.0 ,0 O O O ,O ,O O ,O ,0 ,0 2 ,O 0 O 0 
Timaukel ,282 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O 0 O 0 ,O ,O 0 ,O ,0 ,0 O ,0 0 0 O 
Torres del Paine ,1021 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 ,O ,O O ,O ,0 ,0 O ,0 O 0 O 
Total ,178362 ,1056 ,592.1 ,54 ,30.3 ,54 ,30.3 ,2 1 9 72 ,133 ,150 161 ,134 ,84 ,109 86 ,53 48 14 0 
