,,,,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos ,Tasa incidencia ,Numero de ,Tasa de ,Numero de Casos ,Tasa de Incidencia ,Numero de Casos ,Tasa de Incidencia ,SE SE SE SE ,SE SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE SE 
,,Confirmados ,acumulada ,Fallecidos ,mortalidad ,Actuales ,Actual ,Activos ,Activos ,9 10 11 12 ,13 14 15 16 ,17 18 ,19 ,20 21 ,22 ,23 24 
Cauquenes8 ,44143 ,141 ,319.4 ,2 ,4.5 ,65 ,147.2 ,64 ,145.0 ,O 0 O O ,2 3 1 5 ,2 1 ,4 ,12 15 ,52 ,35 9 
Chanco& ,9331 ,11 ,117.9 ,O ,0.0 ,6 ,64.3 ,6 ,64.3 ,O O O O ,1 O O 1 ,1 O ,1 ,O 1 ,O ,6 O 
Colbun ,22565 ,53 ,234.9 ,O ,0.0 ,10 ,44.3 ,10 ,44.3 ,O 0 O O ,3 3 0 O ,O 1 ,4 ,9 12 ,14 ,7 O 
Constitucion ,50348 ,50 ,99.3 ,O ,0.0 ,11 ,21.8 ,11 ,21.8 ,O 0 O O ,3 3 5 7 ,4 1 ,2 ,3 5 ,6 ,11 O 
Curepto ,9426 ,13 ,137.9 ,1 ,10.6 ,O ,0.0 ,O ,0.0 ,O 0 O O ,O 3 2 3 ,O 1 ,1 ,2 O ,1 ,O O 
Curico& ,163626 ,677 ,413.7 ,4 ,2.4 ,271 ,165.6 ,270 ,165.0 ,O 1 3 3 ,6 3 12 9 ,10 10 ,19 ,42 147 ,190 ,214 8 
Empedrado ,4206 ,1 ,23.8 ,O ,0.0 ,1 ,23.8 ,1 ,23.8 ,0 0 0 0 ,O 0 0 O ,0 O ,0 ,O 0 ,0 ,1 0 
Hualane& ,10222 ,76 ,743.5 ,1 ,9.8 ,37 ,362.0 ,36 ,352.2 ,0 0 0 0 ,0 0 0 1 ,0 O ,0 ,3 15 ,28 ,25 4 
Licanten ,6989 ,8 ,114.5 ,O ,0.0 ,4 ,57.2 ,4 ,57.2 ,O 0 0 0 ,O 1 O 1 ,O O ,O ,O O ,2 ,2 2 
Linares ,101073 ,129 ,127.6 ,1 ,1.0 ,29 ,28.7 ,29 ,28.7 ,1 0 O 2 ,5 5 4 6 ,3 4 ,12 ,17 18 ,27 ,22 3 
Longavi8 ,32810 ,68 ,207.3 ,O ,0.0 ,22 ,67.1 ,22 ,67.1 ,O 0 0 1 ,0 1 1 1 ,0 2 ,5 ,11 10 ,20 ,16 0 
Maule& ,60000 ,105 ,175.0 ,O ,0.0 ,33 ,55.0 ,33 ,55.0 ,O 0 0 1 ,1 2 6 12 ,2 O ,3 ,13 13 ,27 ,23 2 
Molina ,49800 ,55 ,110.4 ,1 ,2.0 ,21 ,42.2 ,21 ,42.2 ,O 0 O 1 ,2 O 1 3 ,0 O ,2 ,4 9 ,18 ,14 1 
Parral& ,44544 ,130 ,291.8 ,O ,0.0 ,30 ,67.3 ,30 ,67.3 ,0 O 0 1 ,3 2 2 1 ,0 O ,6 ,5 41 ,53 ,14 2 
Pelarco ,9083 ,33 ,363.3 ,O ,0.0 ,11 ,121.1 ,11 ,121.1 ,O O O O ,O O 3 2 ,O 2 ,4 ,5 4 ,6 ,6 1 
Pelluhue ,8092 ,30 ,370.7 ,O ,0.0 ,13 ,160.7 ,13 ,160.7 ,O 0 O 1 ,O O 1 O ,O O ,1 ,6 1 ,9 ,11 O 
Pencahue ,8601 ,17 ,197.7 ,O ,0.0 ,3 ,34.9 ,3 ,34.9 ,O O O 0 ,O O O 3 ,0 O ,0 ,O 8 ,4 ,2 O 
Rauco ,11248 ,20 ,177.8 ,0 ,0.0 ,6 ,53.3 ,6 ,53.3 ,O 0 0 0 ,1 1 O 1 ,0 0 ,1 ,1 7 ,5 ,3 0 
Retiro ,21071 ,68 ,322.7 ,O ,0.0 ,15 ,71.2 ,15 ,71.2 ,1 0 0 0 ,0 O 1 O ,0 1 ,0 ,1 17 ,41 ,5 1 
