,,,,,,Numerode,CasossegunFecha,de,IniciodeSintomas,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE 9 10 ,SE SE SE SE SE SE 11 12 13 14 15 16 ,SE SE 17 18 
Antofagasta ,425725 ,303 ,71.2 ,141 ,33.1 ,140 ,32.9 ,O 1 ,2 28 31 34 53 94 ,60 O 
Calama ,190336 ,54 ,28.4 ,25 ,13.1 ,25 ,13.1 ,1 O ,2 3 1 7 13 11 ,16 O 
Maria Elena ,6814 ,13 ,190.8 ,8 ,117.4 ,8 ,117.4 ,O O ,O O O O 4 4 ,5 O 
Mejillones ,14776 ,65 ,439.9 ,38 ,257.2 ,38 ,257.2 ,O O ,O O 1 8 15 17 ,24 O 
Ollague ,287 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O O O O O ,O O 
San Pedro de Atacama ,10434 ,4 ,38.3 ,O ,0.0 ,O ,0.0 ,O O ,O 2 1 1 O O ,O O 
Sierra Gorda ,1746 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O O O O 0 ,O O 
Taltal ,13657 ,7 ,51.3 ,O ,0.0 ,O ,0.0 ,0 O ,O O O 2 3 2 ,0 O 
Tocopilla ,28079 ,11 ,39.2 ,O ,0.0 ,O ,0.0 ,O O ,O 2 O 4 5 O ,O O 
Total ,691854 ,457 ,66.1 ,212 ,30.6 ,211 ,30.5 ,1 1 ,4 35 34 56 93 128 ,105 0 
