,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE SE SE SE 16 17 18 19 ,SE 20 ,SE SE 21 22 ,SE 23 
Cauquenes ,44143 ,91 ,206.1 ,54 ,122.3 ,54 ,122.3 ,0 O O 0 2 ,3 1 ,5 2 1 3 ,12 ,13 40 ,9 
Chanco ,9331 ,4 ,42.9 ,1 ,10.7 ,1 ,10.7 ,O O O 0 1 ,0 O ,1 1 0 O ,O ,1 0 ,O 
Colbun ,22565 ,42 ,186.1 ,15 ,66.5 ,15 ,66.5 ,O O O O 3 ,3 0 ,O O 1 4 ,9 ,12 10 ,O 
Constitucion ,50348 ,39 ,77.5 ,7 ,13.9 ,6 ,11.9 ,O O O O 3 ,3 5 ,7 4 1 2 ,3 ,5 6 ,O 
Curepto ,9426 ,13 ,137.9 ,1 ,10.6 ,1 ,10.6 ,0 O 0 0 0 ,3 2 ,3 0 1 1 ,2 ,0 1 ,O 
Curico ,163626 ,429 ,262.2 ,216 ,132.0 ,214 ,130.8 ,O 1 3 3 6 ,3 12 ,9 10 9 18 ,41 ,141 163 ,10 
Empedrado ,4206 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,0 O ,O O 0 O ,O ,O O ,O 
Hualane ,10222 ,46 ,450.0 ,38 ,371.7 ,38 ,371.7 ,0 O O O O ,0 O ,1 O 0 0 ,3 ,17 21 ,4 
Licanten ,6989 ,2 ,28.6 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 0 ,1 O ,1 0 0 0 ,0 ,0 0 ,O 
Linares ,101073 ,103 ,101.9 ,31 ,30.7 ,31 ,30.7 ,1 O O 2 5 ,5 4 ,6 3 4 12 ,17 ,16 24 ,4 
Longavi ,32810 ,44 ,134.1 ,20 ,61.0 ,20 ,61.0 ,0 O O 1 O ,1 1 ,1 O 2 5 ,9 ,9 15 ,O 
Maule& ,60000 ,78 ,130.0 ,29 ,48.3 ,29 ,48.3 ,0 0 0 1 1 ,2 6 ,12 2 0 3 ,13 ,12 24 ,2 
Molina ,49800 ,33 ,66.3 ,13 ,26.1 ,13 ,26.1 ,0 0 0 1 2 ,0 1 ,3 0 0 2 ,4 ,9 11 ,O 
Parral ,44544 ,96 ,215.5 ,46 ,103.3 ,46 ,103.3 ,O O O 1 3 ,2 2 ,1 O O 6 ,5 ,43 33 ,O 
Pelarco ,9083 ,23 ,253.2 ,3 ,33.0 ,3 ,33.0 ,0 O O O 0 ,0 3 ,2 0 2 4 ,5 ,4 2 ,1 
Pelluhue ,8092 ,12 ,148.3 ,2 ,24.7 ,2 ,24.7 ,O O O 1 0 ,0 1 ,O O 0 1 ,6 ,1 2 ,O 
Pencahue ,8601 ,14 ,162.8 ,6 ,69.8 ,6 ,69.8 ,0 O O O 0 ,0 0 ,3 O O O ,O ,8 3 ,O 
Rauco ,11248 ,17 ,151.1 ,6 ,53.3 ,6 ,53.3 ,O O O O 1 ,1 O ,1 O O 1 ,1 ,6 6 ,O 
Retiro ,21071 ,49 ,232.5 ,36 ,170.9 ,36 ,170.9 ,1 O O 0 O ,0 1 ,O 0 1 O ,1 ,18 27 ,O 
