,Sin,Hospitalizacion,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,41406 ,11.8 ,8729 ,32.9 
Diabetes ,20350 ,5.8 ,5425 ,20.5 
Obesidad ,10623 ,3.0 ,1882 ,7.1 
Asma ,9888 ,2.8 ,872 ,3.3 
Enfermedad cardiovascular ,2591 ,0.7 ,1159 ,4.4 
Enfermedad pulmonar cronica ,2392 ,0.7 ,1122 ,4.2 
Cardiopatia cronica ,2081 ,0.6 ,1165 ,4.4 
Enfermedad renal cronica ,1870 ,0.5 ,1205 ,4.5 
Enfermedad neurologica cronica ,1299 ,0.4 ,797 ,3.0 
Inmunocomprometido ,1675 ,0.5 ,749 ,2.8 
Enfermedad hepatica cronica ,314 ,0.1 ,320 ,1.2 
