Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,111 ,261.4 ,2 ,4.7 ,4 ,9.4 ,4 ,9.4 
Calbuco ,36744 ,185 ,503.5 ,3 ,8.2 ,23 ,62.6 ,23 ,62.6 
Castro ,47607 ,25 ,52.5 ,O ,0.0 ,16 ,33.6 ,16 ,33.6 
Chaiten ,5020 ,11 ,219.1 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Cochamo ,4006 ,16 ,399.4 ,0 ,0.0 ,2 ,49.9 ,2 ,49.9 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Dalcahue ,15069 ,7 ,46.5 ,1 ,6.6 ,O ,0.0 ,O ,0.0 
Fresia ,12656 ,55 ,434.6 ,2 ,15.8 ,25 ,197.5 ,25 ,197.5 
Frutillar ,20223 ,163 ,806.0 ,0 ,0.0 ,17 ,84.1 ,17 ,84.1 
Futaleufu ,2806 ,1 ,35.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Hualaihue ,9525 ,20 ,210.0 ,1 ,10.5 ,3 ,31.5 ,3 ,31.5 
Llanquihue ,18621 ,119 ,639.1 ,1 ,5.4 ,44 ,236.3 ,44 ,236.3 
LOs Muermos ,17817 ,61 ,342.4 ,0 ,0.0 ,17 ,95.4 ,17 ,95.4 
Maullin ,14894 ,73 ,490.1 ,0 ,0.0 ,20 ,134.3 ,20 ,134.3 
Osorno ,& 173410 ,731 ,421.5 ,13 ,7.5 ,93 ,53.6 ,93 ,53.6 
Palena ,1827 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 
Puerto Montt ,& 269398 ,1957 ,726.4 ,13 ,4.8 ,570 ,211.6 ,569 ,211.2 
Puerto Octay ,9192 ,11 ,119.7 ,O ,0.0 ,2 ,21.8 ,2 ,21.8 
Puerto Varas ,& 48620 ,145 ,298.2 ,1 ,2.1 ,22 ,45.2 ,22 ,45.2 
Puqueldon ,4201 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
