,,,,Casos,Acumulados,,,,,,
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Confirmados correspondientes a BAC ,% Confirmados correspondientes a BAC ,Total ,Casos Fallecidos ,Tasa incidencia acumulada ,Tasa mortalidad acumulada ,Tasa Letalidad 
Region de Arica y Parinacota ,252110 ,6838 ,24 ,331 ,389 ,5.4% ,7193 ,158 ,2853.1 ,62.7 ,2.2% 
Region de Tarapaca ,382773 ,10374 ,458 ,951 ,979 ,8.3% ,11783 ,251 ,3078.3 ,65.6 ,2.1% 
Region de Antofagasta ,691854 ,18135 ,280 ,944 ,1316 ,6.8% ,19359 ,602 ,2798.1 ,87.0 ,3.1% 
Region de Atacama ,314709 ,5808 ,35 ,26 ,1088 ,18.5% ,5869 ,89 ,1864.9 ,28.3 ,1.5% 
Region de Coquimbo ,836096 ,10164 ,139 ,1285 ,793 ,6.8% ,11588 ,234 ,1386.0 ,28.0 ,2.0% 
Region de Valparaiso ,1960170 ,23228 ,434 ,8693 ,1481 ,4.6% ,32355 ,1185 ,1650.6 ,60.5 ,3.7% 
Region Metropolitana de Santiago ,8125072 ,260387 ,15323 ,31838 ,8111 ,2.6% ,307548 ,11333 ,3785.2 ,139.5 ,3.7% 
Region del Libertador General Bernardo OHiggins ,991063 ,13748 ,49 ,2832 ,949 ,5.7% ,16629 ,543 ,1677.9 ,54.8 ,3.3% 
Region de Maule ,1131939 ,12172 ,7 ,714 ,625 ,4.8% ,12893 ,438 ,1139.0 ,38.7 ,3.4% 
Region de Nuble ,511551 ,4965 ,11 ,1315 ,344 ,5.5% ,6291 ,132 ,1229.8 ,25.8 ,2.1% 
Region de Biobio ,1663696 ,18142 ,193 ,2537 ,913 ,4.4% ,20872 ,402 ,1254.6 ,24.2 ,1.9% 
Region de la Araucania ,1014343 ,5346 ,3 ,58 ,402 ,7.4% ,5407 ,232 ,533.1 ,22.9 ,4.3% 
Region de LOs Rios ,405835 ,1159 ,7 ,18 ,52 ,4.4% ,1184 ,37 ,291.7 ,9.1 ,3.1% 
Region de Los Lagos ,891440 ,6813 ,48 ,446 ,1039 ,14.2% ,7307 ,149 ,819.7 ,16.7 ,2.0% 
Region de Aysen del General Carlos lbanez del Campo ,107297 ,124 ,1 ,0 ,6 ,4.8% ,125 ,5 ,116.5 ,4.7 ,4.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,3985 ,15 ,79 ,370 ,9.1% ,4079 ,77 ,2286.9 ,43.2 ,1.9% 
Desconocida* ,- ,- ,54 ,,,- ,54 ,2 ,- ,- ,3.7% 
Total pais ,19458310 ,401388 ,17081 ,52067 ,18857 ,4.0% ,470536 ,15869 ,2418.2 ,81.6 ,3.4% 
