,,,,,Numero,deCasos,segunFecha,deIniciode,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actua ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE SE 14 15 ,SE SE SE 16 17 18 
Alto del Carmen ,5729 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O ,O O ,0 O ,O 0 O 
Caldera ,19426 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O 0 
Chanaral ,13164 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O O 
Copiapo ,171766 ,8 ,4.7 ,0 ,0.0 ,O ,0.0 ,O O 1 ,O 2 ,1 4 ,O O O 
Diego de Almagro ,14358 ,1 ,7.0 ,O ,0.0 ,O ,0.0 ,O O O ,O 1 ,O O ,O O O 
Freirina ,7681 ,1 ,13.0 ,1 ,13.0 ,1 ,13.0 ,O O O ,O O ,O O ,1 O O 
Huasco ,11264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O ,O O ,O O 0 
Tierra Amarilla ,14312 ,6 ,41.9 ,1 ,7.0 ,1 ,7.0 ,O O O ,O O ,2 3 ,O 1 0 
Vallenar ,57009 ,13 ,22.8 ,12 ,21.0 ,12 ,21.0 ,O O O ,O O ,O 1 ,7 5 O 
Total ,314709 ,29 ,9.2 ,14 ,4.4 ,14 ,4.4 ,0 0 1 ,0 3 ,3 8 ,8 6 0 
