,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 
Alto del Carmen ,5729 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 O O O O O 0 0 O O 
Caldera ,19426 ,4 ,20.6 ,3 ,15.4 ,3 ,15.4 ,O O O O O O O O O 2 2 O 
Chanaral ,13164 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O O O 
Copiapo ,171766 ,71 ,41.3 ,36 ,21.0 ,36 ,21.0 ,O O 1 O 2 1 4 O 12 26 24 1 
Diego de Almagro ,14358 ,3 ,20.9 ,1 ,7.0 ,1 ,7.0 ,0 O O O 1 O O O 0 1 1 O 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,O ,0.0 ,O O 0 O O O O 1 O 0 O 0 
Huasco ,11264 ,1 ,8.9 ,O ,0.0 ,O ,0.0 ,0 O O 0 O O O O O 1 O O 
Tierra Amarilla ,14312 ,22 ,153.7 ,13 ,90.8 ,13 ,90.8 ,O 0 O O O 2 3 O 2 5 10 O 
Vallenar ,57009 ,42 ,73.7 ,15 ,26.3 ,15 ,26.3 ,O 0 O O O O 1 9 10 9 12 1 
Total ,314709 ,144 ,45.8 ,68 ,21.6 ,68 ,21.6 ,0 0 1 0 3 3 8 10 24 44 49 2 
