,,,,,,Numerode,Casossegun,FechadeInicio,de,Sintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE 12 ,SE 13 ,SE SE 14 15 ,SE SE 16 17 
Alto Biobio ,6775 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O ,O ,O ,O 0 ,O O 
Antuco ,4306 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O ,O ,O ,0 0 ,O O 
Arauco ,38679 ,6 ,15.5 ,O ,0.0 ,O ,0.0 ,O O 1 ,2 ,2 ,1 O ,O O 
Cabrero ,30725 ,15 ,48.8 ,8 ,26.0 ,8 ,26.0 ,0 0 0 ,1 ,O ,3 3 ,7 1 
Canete ,37003 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O ,O ,O ,0 O ,O O 
Chiguayante ,91180 ,58 ,63.6 ,13 ,14.3 ,13 ,14.3 ,O O 5 ,5 ,8 ,16 11 ,9 4 
Concepcion ,238092 ,139 ,58.4 ,23 ,9.7 ,23 ,9.7 ,1 1 8 ,26 ,33 ,22 21 ,17 10 
Contulmo ,6330 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O ,O ,O O ,O O 
Coronel ,125829 ,18 ,14.3 ,2 ,1.6 ,2 ,1.6 ,O O O ,6 ,6 ,3 1 ,0 2 
Curanilahue ,33892 ,2 ,5.9 ,1 ,3.0 ,1 ,3.0 ,0 0 O ,1 ,0 ,O O ,0 1 
Florida ,11841 ,3 ,25.3 ,0 ,0.0 ,O ,0.0 ,O 0 O ,O ,2 ,1 0 ,O 0 
Hualpen ,97273 ,104 ,106.9 ,11 ,11.3 ,11 ,11.3 ,O O 1 ,18 ,31 ,26 17 ,9 2 
Hualqui ,26201 ,19 ,72.5 ,7 ,26.7 ,7 ,26.7 ,O O 1 ,1 ,2 ,3 4 ,8 O 
Laja ,23873 ,12 ,50.3 ,6 ,25.1 ,6 ,25.1 ,O 1 1 ,0 ,3 ,0 1 ,1 5 
Lebu ,27100 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O O O ,O ,O ,O O ,O O 
Los Alamos ,22524 ,1 ,4.4 ,O ,0.0 ,0 ,0.0 ,O O O ,O ,O ,O 1 ,O O 
Los Angeles ,218515 ,31 ,14.2 ,3 ,1.4 ,3 ,1.4 ,O O 3 ,6 ,9 ,6 4 ,3 O 
Lota ,45750 ,1 ,2.2 ,O ,0.0 ,O ,0.0 ,O O O ,1 ,O ,O O ,O O 
Mulchen ,31041 ,5 ,16.1 ,O ,0.0 ,O ,0.0 ,O O O ,1 ,4 ,O O ,O O 
Nacimiento ,27944 ,10 ,35.8 ,O ,0.0 ,O ,0.0 ,O O O ,2 ,3 ,3 2 ,O O 
Negrete ,10429 ,2 ,19.2 ,O ,0.0 ,0 ,0.0 ,O O 0 ,O ,O ,2 O ,0 0 
