Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Aisen ,25002 ,44 ,176.0 ,O ,0.0 ,8 ,32.0 ,8 ,32.0 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Cisnes ,5828 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Cochrane ,3685 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Coyhaique ,61210 ,32 ,52.3 ,O ,0.0 ,2 ,3.3 ,2 ,3.3 
Guaitecas ,1599 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,0 ,0.0 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
O'Higgins ,661 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 
Tortel ,572 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Desconocido ,- ,1 ,- ,0 ,- ,0 ,- ,0 ,- 
Total ,107297 ,78 ,72.7 ,0 ,0.0 ,10 ,9.3 ,10 ,9.3 
