,,,,,,Numero,deCasossegun,Fechade,IniciodeSintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Cases Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE 16 17 ,SE SE 18 19 ,SE 20 ,SE 21 ,SE SE SE 22 23 24 
Chepica ,15925 ,8 ,50.2 ,2 ,12.6 ,2 ,12.6 ,O O O O ,O O O ,O O ,O O ,6 ,O ,1 1 O 
Chimbarongo & ,37696 ,32 ,84.9 ,4 ,10.6 ,4 ,10.6 ,O O O 1 ,1 O O ,O O ,1 5 ,12 ,6 ,5 1 O 
Codegua ,14096 ,14 ,99.3 ,4 ,28.4 ,4 ,28.4 ,O O O 1 ,O O O ,O O ,O ,1 3 ,4 ,4 1 0 
Coinco' ,7831 ,19 ,242.6 ,0 ,0.0 ,0 ,0.0 ,O O O 0 ,0 O O ,0 1 ,O 4 ,10 ,3 ,1 0 0 
Coltauco' ,21263 ,30 ,141.1 ,1 ,4.7 ,1 ,4.7 ,O O O 0 ,0 O O ,O O ,O ,15 8 ,6 ,1 O O 
Donihue ,22700 ,45 ,198.2 ,4 ,17.6 ,4 ,17.6 ,O O O O ,O O O ,1 O ,5 9 ,15 ,11 ,3 1 O 
Graneros' ,36504 ,61 ,167.1 ,3 ,8.2 ,3 ,8.2 ,O O O O ,O O O ,O 3 ,7 ,13 19 ,16 ,2 1 0 
La Estrella ,3114 ,1 ,32.1 ,1 ,32.1 ,1 ,32.1 ,0 O 0 0 ,0 O O ,O O ,0 O ,0 ,O ,1 O 0 
"Las Cabras"" ",26749 ,23 ,86.0 ,2 ,7.5 ,2 ,7.5 ,O O O O ,O O 1 ,2 4 ,3 2 ,4 ,3 ,4 O O 
Litueche ,6765 ,14 ,206.9 ,3 ,44.3 ,2 ,29.6 ,O O O O ,O O O ,1 5 ,2 2 ,1 ,O ,1 2 O 
Lolol ,7289 ,11 ,150.9 ,8 ,109.8 ,8 ,109.8 ,O O 0 O ,0 O O ,O O ,O 1 ,2 ,O ,8 0 0 
Machali ,59913 ,88 ,146.9 ,26 ,43.4 ,26 ,43.4 ,O 0 1 4 ,1 0 4 ,0 5 ,3 7 ,16 ,17 ,17 13 0 
Malloa ,14163 ,4 ,28.2 ,O ,0.0 ,O ,0.0 ,O O O O ,O 0 O ,O O ,O 1 ,2 ,O ,1 O O 
Marchihue ,7632 ,4 ,52.4 ,3 ,39.3 ,3 ,39.3 ,O O O O ,O O O ,O O ,O O ,O ,1 ,3 0 0 
Mostazal ,27462 ,30 ,109.2 ,4 ,14.6 ,4 ,14.6 ,O O O O ,0 O O ,O O ,3 4 ,5 ,11 ,6 1 0 
Nancagua ,19141 ,18 ,94.0 ,4 ,20.9 ,4 ,20.9 ,O 0 0 0 ,0 0 O ,O O ,1 1 ,10 ,2 ,4 O 0 
Navidad' ,6904 ,18 ,260.7 ,1 ,14.5 ,1 ,14.5 ,O O 0 O ,O 0 O ,O 3 ,O ,6 2 ,6 ,O 1 O 
Olivar ,14624 ,27 ,184.6 ,0 ,0.0 ,O ,0.0 ,0 O 0 0 ,1 2 2 ,1 0 ,O ,8 3 ,8 ,2 0 0 
