,,,,,,NumerodeCasos,segunFecha,deIniciode,Sintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE 15 ,,SE 16 
Corral ,5447 ,1 ,18.4 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,0 ,,1 
Futrono ,15261 ,5 ,32.8 ,O ,0.0 ,O ,0.0 ,O O O ,1 3 1 ,O ,,O 
La Union ,39538 ,29 ,73.3 ,7 ,17.7 ,7 ,17.7 ,O O 1 ,4 7 5 ,5 ,,5 
Lago Ranco ,10292 ,2 ,19.4 ,O ,0.0 ,O ,0.0 ,O O O ,1 1 O ,O ,,O 
Lanco ,17652 ,5 ,28.3 ,1 ,5.7 ,1 ,5.7 ,O O O ,O 1 2 ,1 ,,1 
Los Lagos ,20518 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O ,,O 
Mafi ,7389 ,2 ,27.1 ,1 ,13.5 ,1 ,13.5 ,O O O ,1 O O ,O ,,1 
Mariquina ,23250 ,9 ,38.7 ,O ,0.0 ,O ,0.0 ,O O O ,3 1 4 ,1 ,,O 
Paillaco ,20798 ,2 ,9.6 ,O ,0.0 ,O ,0.0 ,O O O ,1 O 1 ,O ,,O 
Panguipulli ,35991 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 ,O O O ,O ,,O 
Rio Bueno ,32925 ,11 ,33.4 ,2 ,6.1 ,2 ,6.1 ,O O O ,3 1 4 ,1 ,,1 
Valdivia ,176774 ,107 ,60.5 ,5 ,2.8 ,5 ,2.8 ,O 2 1 ,27 33 24 ,14 ,,6 
Total ,405835 ,173 ,42.6 ,16 ,3.9 ,16 ,3.9 ,0 2 2 ,41 47 41 ,22 ,,15 
