,,,,,,Numero,deCasossegun,FechadeInicio,de,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE 12 ,SE SE 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE SE 22 23 
Bulnes ,22607 ,189 ,836.0 ,22 ,97.3 ,22 ,97.3 ,0 0 O ,10 ,27 10 ,7 7 ,6 9 ,23 43 ,26 ,17 4 
Chillan ,198624 ,648 ,326.2 ,90 ,45.3 ,90 ,45.3 ,O 1 28 ,119 ,116 76 ,33 25 ,17 15 ,20 62 ,58 ,59 19 
Chillan Viejo ,33827 ,107 ,316.3 ,13 ,38.4 ,13 ,38.4 ,0 O 5 ,7 ,19 7 ,14 3 ,1 O ,4 16 ,22 ,5 4 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O ,O O ,O O ,O O ,O O ,O ,O O 
Coelemu ,16845 ,25 ,148.4 ,15 ,89.0 ,15 ,89.0 ,0 0 O ,O ,2 2 ,O O ,0 O ,0 2 ,7 ,10 2 
Coihueco ,28375 ,53 ,186.8 ,1 ,3.5 ,1 ,3.5 ,0 O O ,2 ,3 4 ,6 12 ,12 3 ,1 8 ,1 ,1 O 
EI Carmen ,12334 ,25 ,202.7 ,17 ,137.8 ,17 ,137.8 ,O O O ,2 ,O 1 ,O O ,O O ,1 3 ,7 ,11 O 
Ninhue ,5414 ,12 ,221.6 ,5 ,92.4 ,4 ,73.9 ,0 O 0 ,O ,O 2 ,O 2 ,O O ,1 1 ,3 ,2 1 
Niquen8 ,11567 ,20 ,172.9 ,8 ,69.2 ,8 ,69.2 ,0 0 O ,1 ,0 1 ,2 0 ,0 1 ,0 4 ,3 ,7 1 
Pemuco ,8639 ,15 ,173.6 ,5 ,57.9 ,5 ,57.9 ,O O O ,1 ,O 4 ,1 O ,O O ,3 1 ,O ,4 1 
Pinto ,11880 ,15 ,126.3 ,O ,0.0 ,O ,0.0 ,O O O ,2 ,3 5 ,1 1 ,O O ,O 3 ,O ,O O 
Portezuelo ,4940 ,7 ,141.7 ,0 ,0.0 ,O ,0.0 ,0 0 O ,O ,O O ,0 O ,0 O ,1 4 ,2 ,0 O 
Quillon ,18777 ,67 ,356.8 ,23 ,122.5 ,22 ,117.2 ,0 0 O ,8 ,8 8 ,1 0 ,2 2 ,2 9 ,6 ,13 8 
Quirihue ,12192 ,21 ,172.2 ,4 ,32.8 ,4 ,32.8 ,O O O ,O ,1 2 ,O 1 ,O 1 ,7 4 ,1 ,4 O 
Ranquil ,6261 ,10 ,159.7 ,0 ,0.0 ,O ,0.0 ,0 O O ,1 ,3 6 ,O O ,O O ,0 O ,O ,O O 
San Carlos& ,56252 ,91 ,161.8 ,28 ,49.8 ,28 ,49.8 ,O O 2 ,5 ,10 9 ,2 3 ,3 3 ,6 9 ,14 ,23 2 
San Fabian ,4654 ,8 ,171.9 ,O ,0.0 ,O ,0.0 ,0 0 O ,3 ,3 1 ,0 1 ,O O ,O O ,0 ,O O 
San Ignacio ,16624 ,30 ,180.5 ,13 ,78.2 ,13 ,78.2 ,0 O O ,2 ,2 1 ,O 1 ,3 3 ,O 2 ,7 ,9 O 
San Nicolas ,12172 ,33 ,271.1 ,7 ,57.5 ,7 ,57.5 ,0 0 O ,2 ,6 4 ,4 O ,0 O ,2 2 ,6 ,7 O 
