22-02-20,0,1
23-02-20 ,0 ,1 
24-02-20 ,0 ,4 
25-02-20 ,0 ,13 
26-02-20 ,0 ,O 
27-02-20 ,0 ,3 
28-02-20 ,1 ,4 
29-02-20 ,O ,O 
01-03-20 ,0 ,8 
02-03-20 ,1 ,7 
03-03-20 ,1 ,9 
04-03-20 ,2 ,6 
05-03-20 ,4 ,29 
06-03-20 ,1 ,12 
07-03-20 ,2 ,13 
08-03-20 ,6 ,24 
09-03-20 ,2 ,34 
10-03-20 ,11 ,63 
11-03-20 ,17 ,52 
12-03-20 ,14 ,69 
13-03-20 ,25 ,115 
14-03-20 ,50 ,153 
15-03-20 ,51 ,174 
16-03-20 ,91 ,283 
17-03-20 ,149 ,254 
18-03-20 ,113 ,272 
19-03-20 ,155 ,300 
20-03-20 ,178 ,356 
21-03-20 ,167 ,308 
22-03-20 ,157 ,302 
23-03-20 ,215 ,390 
24-03-20 ,286 ,334 
25-03-20 ,358 ,339 
26-03-20 ,381 ,348 
27-03-20 ,389 ,355 
28-03-20 ,281 ,324 
29-03-20 ,306 ,292 
30-03-20 ,377 ,391 
31-03-20 ,357 ,336 
01-04-20 ,356 ,466 
02-04-20 ,444 ,391 
03-04-20 ,434 ,398 
04-04-20 ,334 ,378 
05-04-20 ,266 ,355 
06-04-20 ,523 ,476 
07-04-20 ,562 ,445 
08-04-20 ,498 ,418 
09-04-20 ,472 ,461 
10-04-20 ,265 ,467 
11-04-20 ,333 ,382 
12-04-20 ,245 ,400 
