,,,,,Numerode,Casossegun,Fecha,de,Inicio,de,Sintomas.,,Notificacion,O,Toma,de,Muestra,,,
Comuna ,SE 9 ,SE 10 ,SE 11 ,SE 12 ,SE SE 13 14 ,SE SE SE 15 16 17 ,SE 18 ,SE 19 ,SE 20 ,SE 21 ,SE 22 ,SE 23 ,SE 24 ,SE 25 ,SE 26 ,SE 27 ,SE 28 ,SE 29 ,SE 30 ,SE 31 
Alto & Hospicio ,O ,O ,O ,3 ,5 6 ,14 24 38 ,112 ,142 ,269 ,319 ,317 ,262 ,210 ,161 ,175 ,111 ,106 ,108 ,98 ,43 
Camina ,0 ,O ,O ,O ,0 O ,O O O ,O ,O ,O ,3 ,9 ,4 ,2 ,4 ,7 ,3 ,6 ,1 ,2 ,1 
Colchane & ,O ,O ,O ,O ,O O ,O O O ,O ,O ,O ,2 ,1 ,10 ,17 ,15 ,15 ,12 ,6 ,3 ,10 ,1 
Huara ,0 ,O ,0 ,O ,0 0 ,O O 2 ,8 ,2 ,10 ,7 ,7 ,10 ,6 ,9 ,12 ,19 ,21 ,15 ,7 ,O 
Iquique & ,0 ,O ,0 ,9 ,7 14 ,12 21 42 ,103 ,259 ,404 ,505 ,462 ,445 ,461 ,423 ,349 ,333 ,288 ,273 ,314 ,58 
Pica & ,O ,O ,O ,O ,1 7 ,14 11 O ,1 ,4 ,1 ,7 ,8 ,9 ,10 ,10 ,14 ,42 ,38 ,24 ,23 ,13 
Pozo & Almonte ,0 ,O ,0 ,O ,1 2 ,O O O ,3 ,5 ,15 ,38 ,58 ,90 ,104 ,62 ,36 ,75 ,56 ,46 ,36 ,89 
Desconocido & ,O ,O ,0 ,O ,0 O ,1 O 1 ,5 ,94 ,29 ,26 ,25 ,31 ,26 ,20 ,23 ,16 ,20 ,36 ,40 ,8 
Total ,0 ,0 ,0 ,12 ,14 29 ,41 56 83 ,232 ,506 ,728 ,907 ,887 ,861 ,836 ,704 ,631 ,611 ,541 ,506 ,530 ,213 
