,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE SE SE SE 16 17 18 19 ,SE 20 ,SE SE 21 22 
Chepica ,15925 ,6 ,37.7 ,O ,0.0 ,O ,0.0 ,O O O O O ,O O ,O O O O ,6 ,O O 
Chimbarongo ,37696 ,16 ,42.4 ,3 ,8.0 ,3 ,8.0 ,0 O O 1 1 ,O O ,O O 1 5 ,7 ,1 O 
Codegua ,14096 ,8 ,56.8 ,2 ,14.2 ,2 ,14.2 ,0 O 0 1 O ,O O ,0 1 0 1 ,3 ,1 1 
Coinco ,7831 ,14 ,178.8 ,4 ,51.1 ,4 ,51.1 ,O O O O O ,O O ,O 1 O 4 ,7 ,2 O 
Coltauco& ,21263 ,22 ,103.5 ,4 ,18.8 ,4 ,18.8 ,O O O O O ,O O ,O O O 14 ,8 ,O O 
Donihue ,22700 ,31 ,136.6 ,6 ,26.4 ,6 ,26.4 ,0 O O O O ,O O ,1 O 4 9 ,12 ,5 O 
Graneros ,36504 ,45 ,123.3 ,10 ,27.4 ,10 ,27.4 ,0 0 0 0 0 ,0 0 ,0 3 7 13 ,17 ,5 0 
La Estrella ,3114 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O O O ,O O ,O O O O ,0 ,O O 
Las Cabras ,26749 ,15 ,56.1 ,2 ,7.5 ,2 ,7.5 ,O O O O O ,O 1 ,2 4 3 2 ,1 ,2 O 
Litueche ,6765 ,11 ,162.6 ,O ,0.0 ,0 ,0.0 ,0 O 0 0 O ,0 O ,1 5 2 2 ,1 ,O O 
Lolol ,7289 ,3 ,41.2 ,O ,0.0 ,0 ,0.0 ,0 O 0 0 0 ,0 0 ,O O O 1 ,2 ,0 0 
Machali ,59913 ,44 ,73.4 ,11 ,18.4 ,11 ,18.4 ,O O 1 4 1 ,0 4 ,O 5 3 7 ,12 ,7 O 
Malloa ,14163 ,4 ,28.2 ,1 ,7.1 ,1 ,7.1 ,0 O O 0 O ,O O ,O O O 1 ,2 ,O 1 
Marchihue ,7632 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 O O O O ,0 O ,O O 0 O ,0 ,0 O 
Mostazal ,27462 ,13 ,47.3 ,3 ,10.9 ,3 ,10.9 ,0 0 O 0 0 ,0 0 ,0 O 2 4 ,5 ,2 0 
Nancagua ,19141 ,12 ,62.7 ,3 ,15.7 ,3 ,15.7 ,0 O O O O ,0 O ,O O 1 1 ,9 ,1 O 
Navidad ,6904 ,10 ,144.8 ,0 ,0.0 ,0 ,0.0 ,0 O O O 0 ,O O ,0 3 0 5 ,2 ,O 0 
Olivar ,14624 ,19 ,129.9 ,3 ,20.5 ,3 ,20.5 ,0 O O 0 1 ,2 2 ,1 0 O 8 ,2 ,3 O 
Palmilla ,13299 ,3 ,22.6 ,2 ,15.0 ,2 ,15.0 ,0 O 0 0 0 ,0 O ,O O 0 O ,2 ,1 O 
