,,,,,,,,Numero,deCasos,segunFechadeIniciodeSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
Corral ,5447 ,20 ,367.2 ,O ,0.0 ,7 ,128.5 ,7 ,128.5 ,0 0 O O O 0 0 1 0 0 6 4 2 2 5 O 
Futrono ,15261 ,53 ,347.3 ,O ,0.0 ,16 ,104.8 ,16 ,104.8 ,O O O 1 3 1 0 0 O O 1 5 19 8 15 0 
La Union ,39538 ,59 ,149.2 ,1 ,2.5 ,9 ,22.8 ,9 ,22.8 ,O O 1 5 8 4 6 9 4 2 1 2 2 6 9 O 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O 1 1 0 0 0 0 O 0 0 O O O 0 
Lanco ,17652 ,15 ,85.0 ,O ,0.0 ,6 ,34.0 ,6 ,34.0 ,O 0 O O 1 2 1 2 O 3 O O O 1 3 2 
Los Lagos ,20518 ,38 ,185.2 ,1 ,4.9 ,14 ,68.2 ,14 ,68.2 ,O O O O O 0 0 0 O O 0 1 12 11 11 3 
Mafil& ,7389 ,8 ,108.3 ,0 ,0.0 ,3 ,40.6 ,3 ,40.6 ,0 0 O 1 0 0 0 1 O 0 0 1 2 0 2 1 
Mariquina ,23250 ,16 ,68.8 ,O ,0.0 ,1 ,4.3 ,1 ,4.3 ,O O O 3 1 4 1 O O 0 2 1 3 1 O O 
Paillaco ,20798 ,25 ,120.2 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 1 O O 0 0 O O O 8 13 3 O O 
Panguipulli ,35991 ,33 ,91.7 ,1 ,2.8 ,16 ,44.5 ,16 ,44.5 ,O 0 O O O 0 0 0 O 1 O 4 4 8 16 O 
Rio Bueno ,32925 ,18 ,54.7 ,O ,0.0 ,1 ,3.0 ,1 ,3.0 ,0 0 O 3 1 3 2 1 2 1 0 0 3 1 1 0 
Valdivia ,176774 ,200 ,113.1 ,6 ,3.4 ,20 ,11.3 ,20 ,11.3 ,O 1 1 25 33 25 18 8 8 4 2 9 29 21 12 4 
Total ,405835 ,487 ,120.0 ,9 ,2.2 ,93 ,22.9 ,93 ,22.9 ,0 1 2 40 48 39 28 22 14 11 12 35 89 62 74 10 
