,,,,,,oTomadeMuestra,
de ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ,SE SE 26 27 
,0.0 ,2 ,36.7 ,2 ,36.7 ,0 0 0 0 0 0 0 1 0 0 6 4 2 2 5 2 1 ,1 2 
,,,,,,0 0 1 5 19 8 15 5 1 ,1 1 
,5.1 ,5 ,12.6 ,5 ,12.6 ,O 0 1 5 8 4 6 9 4 2 1 2 2 6 9 9 8 ,6 5 
,,,,,,0 0 0 0 O 0 O 0 1 ,4 O 
,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 1 2 1 2 0 3 0 0 0 1 3 10 3 ,1 0 
,,,,,,0 0 0 1 12 11 13 22 3 ,0 1 
,0.0 ,O ,0.0 ,0 ,0.0 ,O 0 0 1 0 0 O 1 0 0 0 1 2 0 2 12 1 ,0 0 
,,,,,,0 0 2 1 3 1 O 3 O ,1 0 
,,,,,,0 0 0 8 13 3 O 2 3 ,0 2 
,2.8 ,5 ,13.9 ,5 ,13.9 ,O 0 0 O 0 O O 1 O 1 0 4 4 8 16 7 8 ,6 1 
,0.0 ,5 ,15.2 ,5 ,15.2 ,O 0 0 3 1 3 2 1 2 1 0 0 3 1 1 1 3 ,4 3 
,3.4 ,46 ,26.0 ,46 ,26.0 ,O 1 1 25 32 25 18 8 8 4 2 10 30 24 15 26 38 ,35 29 
,,,,,,O 0 0 O 0 1 O 1 1 ,O O 
,2.7 ,70 ,17.2 ,70 ,17.2 ,0 1 3 40 47 39 29 24 14 11 12 36 90 66 79 100 71 ,59 44 
