,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE 14 ,SE 15 ,SE 16 ,SE SE 17 18 
Alhue ,7405 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 ,0 ,0 ,0 ,0 O 
Buin & ,109641 ,81 ,73.9 ,28 ,25.5 ,27 ,24.6 ,0 0 1 4 ,17 ,8 ,14 ,13 ,17 7 
Calera de Tango ,28525 ,17 ,59.6 ,3 ,10.5 ,3 ,10.5 ,O 0 0 4 ,4 ,1 ,1 ,5 ,1 1 
Cerrillos ,88956 ,129 ,145.0 ,67 ,75.3 ,66 ,74.2 ,O 1 2 4 ,9 ,12 ,20 ,17 ,43 21 
Cerro Navia & ,142465 ,179 ,125.6 ,76 ,53.3 ,76 ,53.3 ,O 0 9 12 ,12 ,12 ,36 ,39 ,42 17 
Colina & ,180353 ,129 ,71.5 ,35 ,19.4 ,35 ,19.4 ,O 4 6 27 ,16 ,17 ,15 ,16 ,20 8 
Conchali & ,139195 ,187 ,134.3 ,75 ,53.9 ,75 ,53.9 ,0 0 1 15 ,12 ,17 ,29 ,49 ,50 14 
Curacavi ,36430 ,19 ,52.2 ,4 ,11.0 ,4 ,11.0 ,0 O 1 2 ,4 ,4 ,4 ,O ,2 2 
EI Bosque ,172000 ,236 ,137.2 ,93 ,54.1 ,93 ,54.1 ,0 0 2 14 ,21 ,27 ,45 ,42 ,65 20 
EI Monte & ,40014 ,21 ,52.5 ,9 ,22.5 ,9 ,22.5 ,0 0 O 1 ,1 ,6 ,4 ,O ,6 3 
Estacion Central & ,206792 ,341 ,164.9 ,177 ,85.6 ,177 ,85.6 ,0 2 2 11 ,27 ,31 ,37 ,72 ,121 38 
Huechuraba & ,112528 ,113 ,100.4 ,35 ,31.1 ,35 ,31.1 ,0 0 4 19 ,7 ,16 ,17 ,25 ,16 9 
Independencia & ,142065 ,431 ,303.4 ,260 ,183.0 ,257 ,180.9 ,1 0 3 13 ,8 ,19 ,41 ,129 ,179 38 
Isla de Maipo ,40171 ,14 ,34.9 ,3 ,7.5 ,3 ,7.5 ,0 0 O 2 ,1 ,6 ,2 ,O ,3 O 
La Cisterna & ,100434 ,122 ,121.5 ,53 ,52.8 ,52 ,51.8 ,0 0 0 10 ,11 ,13 ,18 ,22 ,39 9 
La Florida & ,402433 ,428 ,106.4 ,167 ,41.5 ,166 ,41.2 ,O 2 12 29 ,56 ,54 ,58 ,87 ,100 30 
La Granja & ,122557 ,138 ,112.6 ,60 ,49.0 ,60 ,49.0 ,O O 1 6 ,13 ,26 ,19 ,16 ,44 13 
La Pintana & ,189335 ,269 ,142.1 ,128 ,67.6 ,126 ,66.5 ,0 0 3 6 ,17 ,26 ,42 ,76 ,89 10 
La Reina ,100252 ,108 ,107.7 ,42 ,41.9 ,42 ,41.9 ,1 0 12 14 ,11 ,14 ,6 ,10 ,30 10 
Lampa & ,126898 ,96 ,75.7 ,38 ,29.9 ,38 ,29.9 ,0 0 O 8 ,13 ,14 ,11 ,17 ,23 10 
Las Condes & ,330759 ,409 ,123.7 ,81 ,24.5 ,80 ,24.2 ,0 6 59 120 ,65 ,36 ,26 ,23 ,44 30 
