Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Ancud ,42458 ,115 ,270.9 ,1 ,2.4 ,1 ,2.4 
Calbuco ,36744 ,352 ,958.0 ,27 ,73.5 ,27 ,73.5 
Castro ,47607 ,33 ,69.3 ,1 ,2.1 ,1 ,2.1 
Chaiten ,5020 ,15 ,298.8 ,0 ,0.0 ,0 ,0.0 
Chonchi ,16013 ,1 ,6.2 ,O ,0.0 ,0 ,0.0 
Cochamo ,4006 ,25 ,624.1 ,2 ,49.9 ,2 ,49.9 
Curaco de Velez ,4066 ,18 ,442.7 ,0 ,0.0 ,0 ,0.0 
Dalcahue ,15069 ,8 ,53.1 ,0 ,0.0 ,0 ,0.0 
Fresia ,12656 ,116 ,916.6 ,4 ,31.6 ,4 ,31.6 
Frutillar ,20223 ,317 ,1567.5 ,34 ,168.1 ,34 ,168.1 
Futaleufu ,2806 ,2 ,71.3 ,1 ,35.6 ,1 ,35.6 
Hualaihue ,9525 ,31 ,325.5 ,2 ,21.0 ,2 ,21.0 
Llanquihue ,18621 ,235 ,1262.0 ,16 ,85.9 ,16 ,85.9 
Los Muermos ,& 17817 ,164 ,920.5 ,33 ,185.2 ,33 ,185.2 
Maullin ,14894 ,285 ,1913.5 ,80 ,537.1 ,80 ,537.1 
Osorno ,173410 ,1351 ,779.1 ,164 ,94.6 ,164 ,94.6 
Palena ,1827 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 
Puerto Montt ,& 269398 ,3407 ,1264.7 ,331 ,122.9 ,331 ,122.9 
Puerto Octay ,9192 ,95 ,1033.5 ,22 ,239.3 ,22 ,239.3 
Puerto Varas ,& 48620 ,337 ,693.1 ,47 ,96.7 ,47 ,96.7 
Puqueldon ,4201 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 
