,,NumerodeCasos,segun,FechadeIniciodeSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE SE SE SE SE SE 14 15 16 17 18 19 
SEREMI De Arica y Parinacota ,O ,O O O O ,O ,O O O 0 0 O 
SEREMI De Tarapaca ,O ,O O O O ,0 ,O O 0 0 0 O 
SEREMI De Antofagasta ,O ,O O O O ,O ,O O O O O O 
SEREMI De Atacama ,O ,O O O O ,O ,O O O O 0 O 
SEREMI De Coquimbo ,O ,O O O O ,O ,O O O O 0 O 
SEREMI De Valparaiso ,1 ,O O O O ,1 ,0 O O O O O 
SEREMI Metropolitana de Santiago ,2 ,O O O O ,O ,O O 1 1 O O 
SEREMI Del Libertador Gral B OHiggins ,O ,O O O O ,O ,O O O O O O 
SEREMI Del Maule ,O ,0 O O O ,O ,O O O O 0 O 
SEREMI Del Nuble ,0 ,O O O O ,0 ,O O O O O O 
SEREMI Del Biobio ,O ,O O O O ,O ,O O 0 O 0 O 
SEREMI De La Araucania ,1 ,O O O O ,O ,O 1 O O O O 
SEREMI De Los Rios ,O ,O O O O ,0 ,O O O O 0 O 
SEREMI De Los Lagos ,21 ,O O 9 10 ,1 ,1 O O O O O 
SEREMI De Aisen del General Carlos ibanez del Campo ,1 ,0 O 1 O ,O ,0 O O O 0 0 
SEREMI De Magallanes y la Antartica Chilena ,0 ,O 0 0 O ,0 ,0 0 0 O 0 0 
Total pais ,26 ,0 0 10 10 ,2 ,1 1 1 1 0 0 
