,,,,,,,Numerode,CasossegunFecha,de,Iniciode,Sintomas,,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE 14 ,SE SE 15 16 ,SE SE 17 18 ,SE 19 ,SE SE 20 21 ,SE 22 ,SE SE 23 24 
Angol ,56058 ,185 ,330.0 ,28 ,49.9 ,28 ,49.9 ,O 1 1 3 ,10 ,11 ,15 35 ,27 11 ,10 ,7 24 ,17 ,13 O 
Carahue ,25486 ,69 ,270.7 ,15 ,58.9 ,15 ,58.9 ,O O 0 O ,3 ,10 ,9 8 ,5 1 ,O ,2 14 ,11 ,6 0 
Cholchol ,12341 ,22 ,178.3 ,16 ,129.6 ,16 ,129.6 ,O O O 1 ,2 ,O ,0 1 ,0 O ,1 ,O 1 ,12 ,4 0 
Collipulli ,26148 ,34 ,130.0 ,9 ,34.4 ,9 ,34.4 ,O 0 O 0 ,0 ,1 ,1 1 ,3 ,2 ,9 8 ,5 ,4 0 
Cunco ,18055 ,39 ,216.0 ,9 ,49.8 ,8 ,44.3 ,O O 0 O ,3 ,2 ,O 1 ,O O ,1 ,5 18 ,1 ,8 O 
Curacautin ,18178 ,8 ,44.0 ,1 ,5.5 ,1 ,5.5 ,O O O 2 ,O ,2 ,O O ,2 O ,1 ,O O ,1 ,O O 
Curarrehue ,7802 ,4 ,51.3 ,0 ,0.0 ,0 ,0.0 ,O O 1 1 ,2 ,O ,O 0 ,0 O ,0 ,O O ,O ,O O 
Ercilla ,8458 ,16 ,189.2 ,1 ,11.8 ,1 ,11.8 ,0 0 0 0 ,0 ,4 ,1 4 ,1 1 ,0 ,0 4 ,1 ,O 0 
Freire ,25446 ,81 ,318.3 ,21 ,82.5 ,21 ,82.5 ,O O 0 2 ,4 ,O ,O 2 ,O O ,11 ,11 28 ,14 ,9 O 
Galvarino ,12633 ,61 ,482.9 ,49 ,387.9 ,49 ,387.9 ,O O 0 O ,1 ,1 ,O O ,O 1 ,O ,O 6 ,39 ,13 O 
Gorbea ,15148 ,25 ,165.0 ,5 ,33.0 ,5 ,33.0 ,O 0 1 4 ,4 ,1 ,O 1 ,0 1 ,3 ,O 5 ,3 ,2 O 
Lautaro ,40746 ,94 ,230.7 ,20 ,49.1 ,20 ,49.1 ,1 0 0 6 ,3 ,15 ,5 6 ,2 8 ,9 ,3 14 ,19 ,3 0 
Loncoche ,24739 ,46 ,185.9 ,17 ,68.7 ,17 ,68.7 ,O O 0 2 ,3 ,2 ,4 3 ,3 1 ,2 ,2 6 ,17 ,1 O 
Lonquimay ,11049 ,64 ,579.2 ,0 ,0.0 ,O ,0.0 ,O 0 O O ,0 ,O ,0 0 ,2 13 ,12 ,25 11 ,1 ,O 0 
Los Sauces ,7517 ,6 ,79.8 ,4 ,53.2 ,4 ,53.2 ,O 0 0 O ,O ,O ,O 1 ,O O ,O ,O O ,3 ,2 O 
Lumaco ,10050 ,14 ,139.3 ,3 ,29.9 ,3 ,29.9 ,O 0 0 0 ,O ,O ,O 4 ,2 1 ,O ,1 3 ,2 ,1 O 
Melipeuco ,6265 ,8 ,127.7 ,3 ,47.9 ,3 ,47.9 ,O 0 0 0 ,0 ,O ,O 0 ,0 O ,O ,O 5 ,2 ,1 O 
Nueva Imperial ,33777 ,64 ,189.5 ,9 ,26.6 ,9 ,26.6 ,0 0 0 4 ,10 ,4 ,12 7 ,3 2 ,6 ,5 2 ,O ,9 O 
