,,,,,,NumerodeCasos,segunFechadeInicio,deSintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE SE 15 16 ,SE 17 18 ,SE SE SE SE 19 20 21 22 
Aisen ,25002 ,1 ,4.0 ,O ,0.0 ,O ,0.0 ,O O 1 ,O O O ,O O ,O O ,O 0 0 O 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O 0 O ,O O 1 ,0 O ,O O ,O O 0 O 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O ,O O ,O O O O 
Cochrane ,3685 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O ,O O ,O O O O 
Coyhaique ,61210 ,5 ,8.2 ,2 ,3.3 ,2 ,3.3 ,O O 1 ,O O 1 ,0 O ,O O ,1 O 2 O 
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 O ,O O 0 ,0 O ,O O ,0 O 0 O 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O ,O O ,O O O O 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,0 O ,O O ,O O O O 
Rio lbanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O ,O 0 O ,0 O ,O O ,O O 0 O 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O ,O O O ,O O ,O O ,O O 0 O 
Total ,107297 ,7 ,6.5 ,2 ,1.9 ,2 ,1.9 ,0 0 2 ,0 0 2 ,0 0 ,0 0 ,1 0 2 0 
