Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con Contactos ,% ,Contactos Nuevos ,Investigados ,% 
Chepica ,8 ,5 ,625 ,5 ,625 ,16 ,16 ,100 
Chimbarongo ,12 ,10 ,833 ,10 ,833 ,62 ,62 ,100 
Codegua ,9 ,0 ,00 ,9 ,100 ,15 ,15 ,100 
Coinco ,11 ,3 ,273 ,3 ,273 ,24 ,8 ,333 
Coltauco ,32 ,32 ,100 ,32 ,100 ,240 ,240 ,100 
Donihue ,19 ,13 ,684 ,14 ,737 ,94 ,87 ,926 
Graneros ,48 ,47 ,979 ,46 ,958 ,46 ,46 ,100 
La Estrella ,- ,- ,- ,- ,- ,2 ,2 ,100 
Las Cabras ,44 ,0 ,00 ,44 ,100 ,43 ,43 ,100 
Litueche ,4 ,4 ,100 ,4 ,100 ,19 ,19 ,100 
Lolol ,2 ,2 ,100 ,2 ,100 ,15 ,7 ,467 
Machali ,26 ,25 ,962 ,21 ,808 ,187 ,187 ,100 
Malloa ,9 ,9 ,100 ,9 ,100 ,23 ,23 ,100 
Marchihue ,1 ,1 ,100 ,1 ,100 ,- ,- ,- 
Mostazal ,15 ,15 ,100 ,15 ,100 ,5 ,5 ,100 
Nancagua ,10 ,9 ,900 ,8 ,800 ,17 ,17 ,100 
Navidad ,- ,- ,- ,- ,- ,35 ,35 ,100 
Olivar ,20 ,18 ,900 ,17 ,850 ,24 ,24 ,100 
Palmilla ,9 ,5 ,556 ,9 ,100 ,11 ,11 ,100 
Paredones ,1 ,O ,00 ,1 ,100 ,22 ,22 ,100 
Peralillo ,1 ,1 ,100 ,1 ,100 ,5 ,5 ,100 
Peumo ,17 ,13 ,765 ,6 ,353 ,77 ,77 ,100 
Pichidegua ,52 ,30 ,577 ,25 ,481 ,88 ,88 ,100 
Pichilemu ,1 ,1 ,100 ,1 ,100 ,- ,- ,- 
Placilla ,6 ,6 ,100 ,6 ,100 ,8 ,8 ,100 
Pumanque ,1 ,1 ,100 ,1 ,100 ,- ,- ,- 
Quinta de Tilcoco ,9 ,9 ,100 ,8 ,889 ,17 ,17 ,100 
Rancagua ,283 ,206 ,728 ,188 ,664 ,421 ,418 ,993 
Rengo ,112 ,53 ,473 ,53 ,473 ,192 ,187 ,974 
Requinoa ,15 ,11 ,733 ,11 ,733 ,71 ,71 ,100 
San Fernando ,76 ,34 ,447 ,33 ,434 ,88 ,65 ,739 
San Vicente ,134 ,23 ,172 ,22 ,164 ,236 ,236 ,100 
Santa Cruz ,46 ,7 ,152 ,19 ,413 ,205 ,205 ,100 
Total ,1033 ,593 ,574 ,624 ,604 ,2308 ,2246 ,973 
