,,,CasosAcumulados,,,Casos,,Tasamortalidad,Tasa
Zona de Chile ,Poblacion ,Confirmados Notificados ,Confirmados No Notificados ,Probables ,Total ,Fallecidos ,Tasa incidencia acumulada ,acumulada ,Letalidad 
Region de Arica y Parinacota ,252110 ,1441 ,1 ,47 ,1489 ,12 ,590.6 ,4.8 ,0.8% 
Region de Tarapaca ,382773 ,5178 ,272 ,167 ,5617 ,80 ,1467.4 ,20.9 ,1.4% 
Region de Antofagasta ,691854 ,6803 ,116 ,316 ,7235 ,100 ,1045.7 ,14.5 ,1.4% 
Region de Atacama ,314709 ,741 ,3 ,69 ,813 ,2 ,258.3 ,0.6 ,0.2% 
Region de Coquimbo ,836096 ,2370 ,123 ,286 ,2779 ,17 ,332.4 ,2.0 ,0.6% 
Region de Valparaiso ,1960170 ,9470 ,290 ,2243 ,12003 ,170 ,612.3 ,8.7 ,1.4% 
Region Metropolitana de Santiago ,8125072 ,182087 ,18836 ,19500 ,220423 ,3895 ,2712.9 ,47.9 ,1.8% 
Region del Libertador General Bernardo OHiggins ,991063 ,4234 ,149 ,618 ,5001 ,52 ,504.6 ,5.2 ,1.0% 
Region de Maule ,1131939 ,4454 ,31 ,339 ,4824 ,33 ,426.2 ,2.9 ,0.7% 
Region del Nuble ,511551 ,2181 ,0 ,309 ,2490 ,28 ,486.8 ,5.5 ,1.1% 
Region de Biobio ,1663696 ,5145 ,200 ,726 ,6071 ,35 ,364.9 ,2.1 ,0.6% 
Region de la Araucania ,1014343 ,3009 ,7 ,119 ,3135 ,39 ,309.1 ,3.8 ,1.2% 
Region de Los Rios ,405835 ,619 ,5 ,36 ,660 ,10 ,162.6 ,2.5 ,1.5% 
Region de Los Lagos ,891440 ,1433 ,23 ,85 ,1541 ,17 ,172.9 ,1.9 ,1.1% 
Region de Aysen del General Carlos lbanez de Campo ,107297 ,28 ,0 ,0 ,28 ,O ,26.1 ,0.0 ,0.0% 
Region de Magallanes y la Antartica Chilena ,178362 ,1294 ,67 ,21 ,1382 ,15 ,774.8 ,8.4 ,1.1% 
Desconocida ,- ,0 ,157 ,0 ,157 ,0 ,- ,- ,0.0% 
Total pais ,19458310 ,230487 ,20280 ,24881 ,275648 ,4505 ,1416.6 ,23.2 ,1.6% 
