,SinHospitalizacion,,Hospitalizados,
Comorbilidades ,N ,% ,N ,% 
Hipertension arterial ,38784 ,11.9 ,7998 ,32.7 
Diabetes ,19108 ,5.8 ,4972 ,20.3 
Obesidad ,10056 ,3.1 ,1743 ,7.1 
Asma ,9243 ,2.8 ,802 ,3.3 
Enfermedad cardiovascular ,2450 ,0.7 ,1055 ,4.3 
Enfermedad pulmonar cronica ,2236 ,0.7 ,1041 ,4.2 
Cardiopatia cronica ,1944 ,0.6 ,1071 ,4.4 
Enfermedad renal cronica ,1778 ,0.5 ,1089 ,4.4 
Enfermedad neurologica cronica ,1229 ,0.4 ,716 ,2.9 
Inmunocomprometido ,1604 ,0.5 ,686 ,2.8 
Enfermedad hepatica cronica ,300 ,0.1 ,285 ,1.2 
