,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,3261 ,1.8 ,537.7 ,3032 ,1.8 ,519.3 ,6293 ,1.8 ,528.7 
05 09 anos ,2628 ,1.4 ,402.5 ,2459 ,1.4 ,390.6 ,5087 ,1.4 ,396.7 
10 14 anos ,3020 ,1.7 ,469.1 ,3115 ,1.8 ,501.3 ,6135 ,1.7 ,484.9 
15 19 anos ,5296 ,2.9 ,826.7 ,5995 ,3.5 ,967.8 ,11291 ,3.2 ,896.1 
20 24 anos ,14099 ,7.8 ,1923.4 ,14031 ,8.3 ,1975.7 ,28130 ,8.0 ,1949.2 
25 29 anos ,22494 ,12.4 ,2686.3 ,21920 ,12.9 ,2700.2 ,44414 ,12.6 ,2693.1 
30 34 anos ,23037 ,12.7 ,2843.3 ,20450 ,12.0 ,2601.8 ,43487 ,12.4 ,2724.4 
35 39 anos ,18990 ,10.5 ,2618.0 ,16363 ,9.6 ,2305.0 ,35353 ,10.1 ,2463.2 
40 44 anos ,15964 ,8.8 ,2364.0 ,13794 ,8.1 ,2053.5 ,29758 ,8.5 ,2209.2 
45 49 anos ,15516 ,8.6 ,2458.4 ,14429 ,8.5 ,2253.3 ,29945 ,8.5 ,2355.1 
50 54 anos ,14737 ,8.1 ,2451.9 ,13689 ,8.1 ,2195.9 ,28426 ,8.1 ,2321.6 
55 59 anos ,13881 ,7.7 ,2501.7 ,12406 ,7.3 ,2100.5 ,26287 ,7.5 ,2294.9 
60 64 anos ,10328 ,5.7 ,2192.6 ,8768 ,5.2 ,1691.5 ,19096 ,5.4 ,1930.1 
65 69 anos ,6563 ,3.6 ,1732.0 ,5806 ,3.4 ,1332.6 ,12369 ,3.5 ,1518.4 
70 74 anos ,4598 ,2.5 ,1741.2 ,4380 ,2.6 ,1371.7 ,8978 ,2.6 ,1538.9 
75 79 anos ,3132 ,1.7 ,1775.6 ,3332 ,2.0 ,1403.6 ,6464 ,1.8 ,1562.2 
80 y mas anos ,3797 ,2.1 ,1932.1 ,5935 ,3.5 ,1694.2 ,9732 ,2.8 ,1779.7 
Total ,181341 ,100 ,1889.1 ,169904 ,100 ,1723.3 ,351245 ,100 ,1805.1 
