Region,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos,SE9(23al29defebrero),SE10(1al7demarzo),SE11(8al14demarzo),SE12(15al21demarzo),SE13(22al28demarzo),SE14(29demarzoal4deabril),SE15(4deabrilal11deabril)
Chepica ,15925 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,0 ,0 ,O 
Chimbarongo ,37696 ,2 ,5.3 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,1 ,1 ,0 ,O 
Codegua ,14096 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,O ,O ,O 
Coinco ,7831 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,0 ,O ,0 ,0 
Coltauco ,21263 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,O ,0 ,0 ,O 
Donihue ,22700 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,O ,O ,O ,0 ,O 
Graneros ,36504 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,0 ,O ,O 
La Estrella ,3114 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 ,O ,0 ,0 ,0 
Las Cabras ,26749 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,0 ,0 ,O 
Litueche ,6765 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,0 ,O 
Lolol ,7289 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,0 ,0 ,O 
Machali ,59913 ,8 ,13.4 ,0 ,0.0 ,0 ,0.0 ,O ,O ,1 ,5 ,2 ,0 ,0 
Malloa ,14163 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,0 ,0 ,O 
Marchihue ,7632 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,O ,O ,O ,O ,0 ,O 
Mostazal ,27462 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,O ,O ,O ,0 ,O 
Nancagua ,19141 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 ,0 ,O ,0 ,O 
Navidad ,6904 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,O ,O ,0 ,0 ,O 
Olivar ,14624 ,6 ,41 ,3 ,20.5 ,3 ,20.5 ,O ,O ,O ,O ,3 ,2 ,1 
Palmilla ,13299 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0 ,0 ,O ,0 ,O ,O 
