,Sin,Hospitalizacion,Hospitalizados,
Comorbilidades ,No ,% ,No ,% 
Hipertension arterial ,27615 ,11.6 ,5730 ,31.3 
Diabetes ,12035 ,5.1 ,3603 ,19.7 
Obesidad ,6537 ,2.8 ,1236 ,6.8 
Asma ,6073 ,2.6 ,586 ,3.2 
Enfermedad cardiovascular ,1656 ,0.7 ,758 ,4.1 
Enfermedad pulmonar cronica ,1407 ,0.6 ,801 ,4.4 
Cardiopatia cronica ,1277 ,0.5 ,805 ,4.4 
Enfermedad renal cronica ,1117 ,0.5 ,781 ,4.3 
Enfermedad neurologica cronica ,794 ,0.3 ,518 ,2.8 
Inmunocomprometido ,172 ,0.1 ,176 ,1.0 
Enfermedad hepatica cronica ,185 ,0.1 ,194 ,1.1 
