,,,,,,,,,Numerode,Casossegun,FechadeInicio,de,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE SE 12 13 14 ,SE SE 15 16 ,SE SE 17 18 ,SE SE 19 20 ,SE 21 ,SE 22 ,SE SE 23 24 
Andacollo8 ,11791 ,25 ,212.0 ,1 ,8.5 ,6 ,50.9 ,6 ,50.9 ,0 O 0 ,0 0 0 ,O O ,0 2 ,7 3 ,3 ,6 ,4 0 
Canela ,9546 ,6 ,62.9 ,O ,0.0 ,2 ,21.0 ,2 ,21.0 ,0 O 0 ,0 0 0 ,0 0 ,O 1 ,0 2 ,0 ,1 ,2 O 
Combarbala ,13884 ,20 ,144.1 ,O ,0.0 ,4 ,28.8 ,4 ,28.8 ,O O O ,O O O ,O O ,O 2 ,3 4 ,3 ,5 ,3 O 
Coquimbo& ,256735 ,470 ,183.1 ,3 ,1.2 ,102 ,39.7 ,102 ,39.7 ,O O 4 ,13 3 1 ,1 4 ,7 16 ,78 81 ,59 ,128 ,66 9 
Illapel ,32801 ,53 ,161.6 ,0 ,0.0 ,20 ,61.0 ,20 ,61.0 ,O 0 0 ,0 4 7 ,7 O ,0 1 ,0 1 ,4 ,18 ,8 3 
La Higuera ,4450 ,3 ,67.4 ,O ,0.0 ,2 ,44.9 ,2 ,44.9 ,O O O ,0 0 0 ,0 0 ,O 0 ,0 O ,0 ,1 ,2 O 
La Serena& ,249656 ,350 ,140.2 ,2 ,0.8 ,93 ,37.3 ,93 ,37.3 ,O O O ,3 6 4 ,3 3 ,5 13 ,49 43 ,65 ,89 ,61 6 
Los Vilos ,23374 ,11 ,47.1 ,0 ,0.0 ,3 ,12.8 ,3 ,12.8 ,O O O ,1 O O ,O O ,O O ,1 0 ,3 ,4 ,1 1 
Monte Patria& ,32527 ,82 ,252.1 ,1 ,3.1 ,18 ,55.3 ,17 ,52.3 ,O 0 O ,0 0 0 ,O O ,O 1 ,6 18 ,24 ,22 ,11 O 
Ovalle ,121269 ,329 ,271.3 ,1 ,0.8 ,108 ,89.1 ,108 ,89.1 ,O O 2 ,2 4 2 ,0 2 ,1 12 ,25 43 ,55 ,99 ,80 2 
Paiguano ,4675 ,4 ,85.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O ,O O 0 ,O O ,0 0 ,O O ,2 ,2 ,O O 
Punitaqui ,12165 ,31 ,254.8 ,1 ,8.2 ,10 ,82.2 ,10 ,82.2 ,0 O O ,O O O ,O 1 ,1 3 ,6 O ,4 ,14 ,2 O 
Rio Hurtado ,4372 ,13 ,297.3 ,O ,0.0 ,6 ,137.2 ,6 ,137.2 ,O O O ,1 O 0 ,0 O ,O 1 ,0 0 ,2 ,5 ,4 O 
Salamanca8 ,29110 ,42 ,144.3 ,O ,0.0 ,15 ,51.5 ,15 ,51.5 ,O O 0 ,1 2 1 ,2 1 ,0 3 ,2 2 ,5 ,14 ,9 O 
Vicuna ,29741 ,21 ,70.6 ,0 ,0.0 ,2 ,6.7 ,2 ,6.7 ,0 O 0 ,0 0 0 ,O 0 ,1 2 ,5 3 ,4 ,5 ,1 0 
Total ,836096 ,1460 ,174.6 ,9 ,1.1 ,391 ,46.8 ,390 ,46.6 ,0 0 6 ,21 19 15 ,13 11 ,15 57 ,182 200 ,233 ,413 ,254 21 
