,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,3392 ,1.8 ,559.2 ,3141 ,1.8 ,538.0 ,6533 ,1.8 ,548.8 
05 09 anos ,2733 ,1.5 ,418.6 ,2580 ,1.5 ,409.8 ,5313 ,1.5 ,414.3 
10 14 anos ,3157 ,1.7 ,490.3 ,3237 ,1.8 ,520.9 ,6394 ,1.8 ,505.3 
15 19 anos ,5467 ,2.9 ,853.4 ,6217 ,3.5 ,1003.7 ,11684 ,3.2 ,927.3 
20 24 anos ,14493 ,7.8 ,1977.2 ,14441 ,8.2 ,2033.5 ,28934 ,8.0 ,2004.9 
25 29 anos ,23090 ,12.4 ,2757.5 ,22586 ,12.9 ,2782.2 ,45676 ,12.6 ,2769.7 
30 34 anos ,23627 ,12.7 ,2916.1 ,21054 ,12.0 ,2678.7 ,44681 ,12.3 ,2799.2 
35 39 anos ,19530 ,10.5 ,2692.5 ,16818 ,9.6 ,2369.1 ,36348 ,10.0 ,2532.5 
40 44 anos ,16399 ,8.8 ,2428.4 ,14221 ,8.1 ,2117.1 ,30620 ,8.5 ,2273.2 
45 49 anos ,15952 ,8.6 ,2527.4 ,14830 ,8.5 ,2315.9 ,30782 ,8.5 ,2420.9 
50 54 anos ,15162 ,8.1 ,2522.6 ,14112 ,8.1 ,2263.8 ,29274 ,8.1 ,2390.8 
55 59 anos ,14247 ,7.6 ,2567.7 ,12800 ,7.3 ,2167.2 ,27047 ,7.5 ,2361.2 
60 64 anos ,10668 ,5.7 ,2264.8 ,9062 ,5.2 ,1748.2 ,19730 ,5.5 ,1994.1 
65 69 anos ,6751 ,3.6 ,1781.6 ,6015 ,3.4 ,1380.6 ,12766 ,3.5 ,1567.1 
70 74 anos ,4742 ,2.5 ,1795.7 ,4533 ,2.6 ,1419.6 ,9275 ,2.6 ,1589.8 
75 79 anos ,3243 ,1.7 ,1838.5 ,3452 ,2.0 ,1454.2 ,6695 ,1.9 ,1618.0 
80 y mas anos ,3919 ,2.1 ,1994.2 ,6171 ,3.5 ,1761.6 ,10090 ,2.8 ,1845.2 
Total ,186572 ,100 ,1943.6 ,175270 ,100 ,1777.7 ,361842 ,100 ,1859.6 
