,Hospitalizados,,Sin,Hospitalizacion
Comorbilidades ,N ,% ,N ,% 
Hipertension Arterial ,13354 ,32.3 ,46904 ,11.2 
Diabetes ,8312 ,20.1 ,22872 ,5.5 
Otra ,5479 ,13.3 ,24885 ,5.9 
Obesidad ,2857 ,6.9 ,11932 ,2.8 
Enfermedad Renal Cronica ,1811 ,4.4 ,2062 ,0.5 
Cardiopatia Cronica ,1654 ,4.0 ,2337 ,0.6 
Enfermedad Cardiovascular ,1645 ,4.0 ,2789 ,0.7 
Enfermedad Pulmonar Cronica ,1555 ,3.8 ,2692 ,0.6 
Asma ,1386 ,3.4 ,11816 ,2.8 
Enfermedad Neurologica Cronica ,1049 ,2.5 ,1476 ,0.4 
Inmunocomprometido ,983 ,2.4 ,1869 ,0.4 
Enfermedad Hepatica Cronica ,437 ,1.1 ,335 ,0.1 
