,,,,,,,,Numero,deCasossegun,Fechade,IniciodeSintomas.,Notificacion,OTomade,Muestra,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de Mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE SE SE SE 14 15 16 17 ,SE SE SE 18 19 20 ,SE 21 ,SE SE 22 23 ,SE SE 24 25 ,SE SE 26 27 
Bulnes ,22607 ,268 ,1185.5 ,5 ,22.1 ,26 ,115.0 ,26 ,115.0 ,0 0 0 ,9 27 ,10 7 8 8 ,9 23 44 ,26 ,19 17 ,16 19 ,12 14 
Chillan8 ,198624 ,1276 ,642.4 ,13 ,6.5 ,223 ,112.3 ,223 ,112.3 ,O 1 28 ,119 117 ,75 33 25 18 ,16 20 66 ,59 ,68 113 ,124 171 ,136 87 
Chillan Viejo ,33827 ,213 ,629.7 ,1 ,3.0 ,31 ,91.6 ,31 ,91.6 ,0 0 5 ,7 19 ,7 14 3 1 ,0 4 15 ,22 ,12 27 ,21 25 ,18 13 
Cobquecura ,5275 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 O O ,O 0 ,0 0 O 0 ,0 0 O ,O ,O 0 ,O 0 ,0 O 
Coelemu ,16845 ,63 ,374.0 ,1 ,5.9 ,5 ,29.7 ,5 ,29.7 ,0 0 0 ,0 2 ,2 O O 0 ,0 0 2 ,6 ,11 8 ,9 18 ,4 1 
Coihueco ,28375 ,115 ,405.3 ,4 ,14.1 ,29 ,102.2 ,29 ,102.2 ,0 O O ,2 3 ,4 6 12 12 ,3 1 8 ,1 ,1 5 ,11 17 ,11 18 
EI Carmen ,12334 ,68 ,551.3 ,2 ,16.2 ,9 ,73.0 ,9 ,73.0 ,0 O O ,2 0 ,1 O O 0 ,0 1 3 ,7 ,15 4 ,16 10 ,6 3 
Ninhue ,5414 ,39 ,720.4 ,3 ,55.4 ,13 ,240.1 ,12 ,221.6 ,0 O O ,0 0 ,2 0 2 O ,O 0 1 ,3 ,2 2 ,7 7 ,11 2 
Niquen ,11567 ,68 ,587.9 ,2 ,17.3 ,5 ,43.2 ,5 ,43.2 ,0 O O ,1 0 ,1 2 O 0 ,1 O 5 ,3 ,11 17 ,18 4 ,5 O 
Pemuco ,8639 ,85 ,983.9 ,0 ,0.0 ,11 ,127.3 ,11 ,127.3 ,0 0 0 ,1 0 ,4 1 O O ,0 3 1 ,2 ,5 5 ,20 32 ,5 6 
Pinto ,11880 ,35 ,294.6 ,0 ,0.0 ,7 ,58.9 ,7 ,58.9 ,0 0 0 ,2 3 ,5 1 1 0 ,0 0 3 ,0 ,2 0 ,3 8 ,7 O 
Portezuelo ,4940 ,12 ,242.9 ,O ,0.0 ,1 ,20.2 ,1 ,20.2 ,0 O O ,O 0 ,O O O 0 ,0 1 4 ,2 ,O O ,O 4 ,0 1 
Quillon ,18777 ,128 ,681.7 ,3 ,16.0 ,10 ,53.3 ,10 ,53.3 ,0 0 0 ,8 8 ,8 1 O 2 ,2 2 9 ,6 ,13 24 ,20 15 ,7 3 
Quirihue ,12192 ,39 ,319.9 ,1 ,8.2 ,8 ,65.6 ,8 ,65.6 ,0 0 0 ,0 1 ,2 0 1 0 ,1 7 4 ,1 ,4 1 ,1 8 ,8 O 
Ranquil ,6261 ,27 ,431.2 ,0 ,0.0 ,3 ,47.9 ,3 ,47.9 ,0 0 0 ,1 3 ,6 0 0 0 ,0 1 0 ,0 ,0 1 ,4 8 ,2 1 
San Carlos& ,56252 ,370 ,657.8 ,4 ,7.1 ,70 ,124.4 ,70 ,124.4 ,0 0 2 ,5 11 ,9 3 3 3 ,3 7 7 ,13 ,28 61 ,92 53 ,38 32 
San Fabian ,4654 ,9 ,193.4 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,3 3 ,1 0 1 0 ,0 0 0 ,1 ,0 0 ,0 0 ,0 O 
San Ignacio& ,16624 ,138 ,830.1 ,2 ,12.0 ,8 ,48.1 ,8 ,48.1 ,0 0 0 ,2 3 ,1 0 1 3 ,3 0 2 ,6 ,8 9 ,53 39 ,4 4 
San Nicolas ,12172 ,69 ,566.9 ,1 ,8.2 ,13 ,106.8 ,13 ,106.8 ,0 0 0 ,2 6 ,5 4 0 0 ,0 2 3 ,9 ,8 9 ,5 3 ,9 4 
Treguaco ,5696 ,3 ,52.7 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 0 O ,0 0 ,0 0 O 0 ,O 0 1 ,0 ,0 1 ,0 1 ,0 O 
Yungay ,18596 ,97 ,521.6 ,0 ,0.0 ,14 ,75.3 ,14 ,75.3 ,0 0 0 ,3 16 ,21 3 4 6 ,2 2 2 ,0 ,6 2 ,5 11 ,13 1 
