,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE 14 ,SE SE SE 15 16 17 
Ancud ,42458 ,23 ,54.2 ,13 ,30.6 ,13 ,30.6 ,0 O O O 1 ,0 ,5 3 1 
Calbuco ,36744 ,7 ,19.1 ,O ,0.0 ,O ,0.0 ,O O O 3 1 ,1 ,1 1 O 
Castro& ,47607 ,7 ,14.7 ,O ,0.0 ,O ,0.0 ,O O O 2 O ,5 ,O O O 
Chaiten ,5020 ,1 ,19.9 ,O ,0.0 ,O ,0.0 ,O 0 O O 1 ,O ,O O 0 
Chonchi ,16013 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O O O O ,O ,O 0 O 
Cochamo ,4006 ,1 ,25.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,O ,1 O O 
Curaco de Velez ,4066 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,O ,O O O 
Dalcahue ,15069 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,O ,O O O 
Fresia ,12656 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O ,O ,O O O 
Frutillar ,20223 ,6 ,29.7 ,,0.0 ,O ,0.0 ,0 O O 0 1 ,3 ,2 0 O 
Futaleufu ,2806 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O 0 O ,O ,O O O 
Hualaihue ,9525 ,3 ,31.5 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 3 ,O ,O O 0 
Llanquihue ,18621 ,1 ,5.4 ,O ,0.0 ,O ,0.0 ,O O O O 1 ,O ,O O O 
Los Muermos ,17817 ,1 ,5.6 ,O ,0.0 ,O ,0.0 ,O O O 1 O ,O ,O O 0 
Maullin ,14894 ,1 ,6.7 ,O ,0.0 ,O ,0.0 ,O O O O O ,O ,1 O O 
Osorno ,173410 ,320 ,184.5 ,22 ,12.7 ,22 ,12.7 ,O 0 3 58 103 ,65 ,37 18 15 
Palena ,1827 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O O O O O ,O ,O 0 O 
Puerto Montt ,269398 ,52 ,19.3 ,0 ,0.0 ,O ,0.0 ,O 1 1 13 18 ,11 ,3 5 O 
Puerto Octay ,9192 ,5 ,54.4 ,2 ,21.8 ,2 ,21.8 ,O O O 1 O ,O ,O 1 1 
Puerto Varas ,48620 ,8 ,16.5 ,O ,0.0 ,O ,0.0 ,0 O 1 O 2 ,3 ,2 O 
Puqueldon ,4201 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,O ,O 0 O 
Purranque ,21080 ,27 ,128.1 ,5 ,23.7 ,5 ,23.7 ,0 O O 0 3 ,12 ,5 1 2 
Puyehue ,11787 ,6 ,50.9 ,2 ,17.0 ,2 ,17.0 ,O O O 1 1 ,O ,O 1 1 
