,Hospitalizados,,Sin,Hospitalizacion
Signos / Sintoma ,No ,% ,No ,% 
Tos ,23599 ,61.3 ,212910 ,53.3 
Fiebre ,17901 ,46.5 ,133361 ,33.4 
Mialgia ,16937 ,44.0 ,215295 ,53.9 
Disnea ,16032 ,41.7 ,41436 ,10.4 
Cefalea ,13761 ,35.8 ,233540 ,58.4 
Odinofagia ,6917 ,18.0 ,130035 ,32.5 
Taquipnea ,4664 ,12.1 ,3783 ,0.9 
Dolor toracico ,4499 ,11.7 ,34473 ,8.6 
Otros ,4368 ,11.4 ,39856 ,10.0 
Diarrea ,3453 ,9.0 ,40397 ,10.1 
Dolor abdominal ,2683 ,7.0 ,23955 ,6.0 
Anosmia* ,2321 ,6.0 ,73504 ,18.4 
Ageusia ,2024 ,5.3 ,58218 ,14.6 
Postracion ,822 ,2.1 ,1914 ,0.5 
Cianosis ,758 ,2.0 ,331 ,0.1 
