,Fechade,iniciode,sintomas,Fecha,denotificacion
Fecha ,Confirmada ,No notificada ,Probable ,Confirmada ,No notificada Probable 
22-02-20 ,1 ,,,,
23-02-20 ,1 ,,,,
24-02-20 ,1 ,,1 ,,
25-02-20 ,9 ,,,,
26-02-20 ,2 ,,1 ,,
27-02-20 ,3 ,,,,
28-02-20 ,3 ,,1 ,1 ,
29-02-20 ,1 ,,,,
01-03-20 ,10 ,,,,
02-03-20 ,7 ,,1 ,1 ,
03-03-20 ,9 ,,,1 ,
04-03-20 ,9 ,,,2 ,
05-03-20 ,28 ,,2 ,4 ,
06-03-20 ,13 ,,2 ,1 ,
07-03-20 ,14 ,,,2 ,
08-03-20 ,24 ,,,6 ,
09-03-20 ,36 ,,,2 ,
10-03-20 ,65 ,1 ,1 ,10 ,1 1 
11-03-20 ,53 ,,,17 ,
12-03-20 ,69 ,1 ,2 ,13 ,1 
13-03-20 ,117 ,,1 ,24 ,
14-03-20 ,149 ,3 ,,46 ,3 
15-03-20 ,177 ,,3 ,50 ,
