,,,,,,Numero,deCasossegun,Fechade,Iniciode,Sintomas,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE 9 10 11 ,SE SE 12 13 ,SE SE SE 14 15 16 ,SE 17 ,SE SE SE 18 19 20 
Algarrobo& ,15174 ,14 ,92.3 ,3 ,19.8 ,2 ,13.2 ,0 0 1 ,4 4 ,0 0 0 ,2 ,3 0 0 
Cabildo ,20663 ,6 ,29.0 ,2 ,9.7 ,2 ,9.7 ,0 0 0 ,0 0 ,0 0 0 ,4 ,2 0 0 
Calera ,53591 ,25 ,46.6 ,3 ,5.6 ,3 ,5.6 ,0 0 0 ,1 6 ,2 4 7 ,2 ,0 3 0 
Calle Larga ,16482 ,10 ,60.7 ,4 ,24.3 ,4 ,24.3 ,0 0 0 ,0 0 ,2 3 1 ,0 ,3 1 0 
Cartagena ,25357 ,15 ,59.2 ,5 ,19.7 ,5 ,19.7 ,0 0 0 ,0 0 ,2 0 3 ,5 ,5 0 0 
Casablanca ,29170 ,4 ,13.7 ,1 ,3.4 ,1 ,3.4 ,0 0 0 ,1 0 ,1 1 0 ,0 ,0 1 0 
Catemu ,15213 ,2 ,13.1 ,1 ,6.6 ,1 ,6.6 ,0 0 0 ,0 0 ,0 0 0 ,0 ,1 1 0 
Con Con ,45889 ,25 ,54.5 ,5 ,10.9 ,5 ,10.9 ,0 0 0 ,2 6 ,1 1 0 ,9 ,5 1 0 
El Quisco ,17742 ,18 ,101.5 ,7 ,39.5 ,7 ,39.5 ,0 0 0 ,1 0 ,4 2 4 ,0 ,4 3 0 
El Tabo ,14338 ,16 ,111.6 ,3 ,20.9 ,3 ,20.9 ,0 0 0 ,0 5 ,0 2 3 ,3 ,1 2 0 
Hijuelas ,19099 ,1 ,5.2 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 1 0 ,0 ,0 0 0 
Isla de Pascua ,8277 ,5 ,60.4 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,2 1 ,2 0 0 ,0 ,0 0 0 
Juan Fernandez ,1033 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,0 0 0 ,0 ,0 0 0 
La Cruz ,25321 ,17 ,67.1 ,8 ,31.6 ,8 ,31.6 ,0 1 0 ,1 2 ,3 1 0 ,1 ,6 2 0 
La Ligua ,37739 ,3 ,7.9 ,1 ,2.6 ,1 ,2.6 ,0 0 0 ,1 0 ,1 0 0 ,0 ,1 0 0 
Limache ,49931 ,28 ,56.1 ,5 ,10.0 ,5 ,10.0 ,0 0 0 ,2 0 ,5 9 6 ,1 ,5 0 0 
Llaillay ,26533 ,5 ,18.8 ,2 ,7.5 ,2 ,7.5 ,0 0 0 ,1 1 ,0 0 0 ,1 ,1 1 0 
Los Andes ,68093 ,25 ,36.7 ,16 ,23.5 ,16 ,23.5 ,0 0 0 ,2 2 ,0 3 0 ,2 ,5 11 0 
Nogales ,23490 ,1 ,4.3 ,1 ,4.3 ,1 ,4.3 ,0 0 0 ,0 0 ,0 0 0 ,0 ,1 0 0 
Olmue ,19266 ,2 ,10.4 ,0 ,0.0 ,0 ,0.0 ,0 0 0 ,0 0 ,2 0 0 ,0 ,0 0 0 
