Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con contactos ,% ,Contactos Nuevos ,Investigados ,% 
Aisen ,9 ,9 ,100 ,9 ,100 ,28 ,28 ,100 
Chile Chico ,- ,- ,- ,- ,- ,- ,- ,- 
Cisnes ,- ,- ,- ,- ,- ,- ,- ,- 
Cochrane ,- ,- ,- ,- ,- ,- ,- ,- 
Coyhaique ,1 ,1 ,100 ,1 ,100 ,26 ,26 ,100 
Guaitecas ,- ,- ,- ,- ,- ,- ,- ,- 
Lago Verde ,- ,- ,- ,- ,- ,- ,- ,- 
O'Higgins ,- ,- ,- ,- ,- ,- ,- ,- 
Rio ibanez ,- ,- ,- ,- ,- ,- ,- ,-- 
Tortel ,- ,- ,- ,- ,- ,- ,- ,- 
Total ,10 ,10 ,100 ,10 ,100 ,54 ,54 ,100 
