,Hospitalizados,,SinHospitalizacion,
Comorbilidades ,NO ,% ,No ,% 
Hipertension Arterial ,10785 ,32.6 ,43230 ,11.5 
Diabetes ,6693 ,20.2 ,21224 ,5.6 
Otra ,4407 ,13.3 ,22347 ,5.9 
Obesidad ,2338 ,7.1 ,11117 ,3.0 
Enfermedad Renal Cronica ,1463 ,4.4 ,1900 ,0.5 
Enfermedad Cardiovascular ,1371 ,4.1 ,2655 ,0.7 
Cardiopatia Cronica ,1341 ,4.1 ,2146 ,0.6 
Enfermedad Pulmonar Cronica ,1299 ,3.9 ,2489 ,0.7 
Asma ,1087 ,3.3 ,10601 ,2.8 
Enfermedad Neurologica Cronica ,888 ,2.7 ,1370 ,0.4 
nmunocomprometido ,857 ,2.6 ,1732 ,0.5 
Enfermedad Hepatica Cronica ,372 ,1.1 ,323 ,0.1 
