,,,,,,Numero,deCasossegun,FechadeIniciodeSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 
Alto de Carmen ,5729 ,2 ,34.9 ,2 ,34.9 ,2 ,34.9 ,0 O 0 O O O 0 O 0 O 0 0 0 1 1 
Caldera ,19426 ,10 ,51.5 ,4 ,20.6 ,4 ,20.6 ,O O O O O O O O O 2 2 1 1 3 1 
Chanaral ,13164 ,1 ,7.6 ,O ,0.0 ,O ,0.0 ,0 O 0 0 0 0 O O O O 0 0 1 O 0 
Copiapo & ,171766 ,207 ,120.5 ,89 ,51.8 ,89 ,51.8 ,O O 1 O 2 1 4 O 12 26 27 14 25 54 41 
Diego de Almagro & ,14358 ,15 ,104.5 ,2 ,13.9 ,2 ,13.9 ,1 O O O 1 O O O O 1 1 4 3 3 1 
Freirina ,7681 ,1 ,13.0 ,O ,0.0 ,O ,0.0 ,0 O O O O O O 1 O O O O O O O 
Huasco ,11264 ,5 ,44.4 ,4 ,35.5 ,4 ,35.5 ,O O 0 O O O O O O 1 0 O O 2 2 
Tierra Amarilla ,14312 ,26 ,181.7 ,3 ,21.0 ,3 ,21.0 ,0 O 0 0 0 2 3 0 2 5 10 1 0 1 2 
Vallenar ,57009 ,80 ,140.3 ,27 ,47.4 ,27 ,47.4 ,0 0 O 0 O O 1 9 11 9 13 2 6 14 15 
Total ,314709 ,347 ,110.3 ,131 ,41.6 ,131 ,41.6 ,1 0 1 0 3 3 8 10 25 44 53 22 36 78 63 
