,,NumerodeCasos,segun,,Fecha,deInicio,deSintomas
SEREMI de Notificacion ,Residencia Desconocida ,SE SE SE SE 9 10 11 12 ,SE 13 ,SE 14 ,SE 15 ,SE SE 16 17 ,SE SE SE 18 19 20 
SEREMI De Arica y Parinacota ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI De Tarapaca ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI De Antofagasta ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI De Atacama ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI De Coquimbo ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI De Valparaiso ,1 ,0 0 0 0 ,1 ,0 ,0 ,0 0 ,0 0 0 
SEREMI Metropolitana de Santiago ,2 ,0 0 0 0 ,0 ,0 ,0 ,1 1 ,0 0 0 
SEREMI Del Libertador Gral B OHiggins ,0 ,0 0 O 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI Del Maule ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI Del Nuble ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI Del Biobio ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI De La Araucania ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI De Los Rios ,0 ,0 0 0 0 ,0 ,O ,0 ,0 0 ,0 0 0 
SEREMI De Los Lagos ,21 ,0 0 9 10 ,1 ,1 ,0 ,0 0 ,0 0 0 
SEREMI De Aisen del General Carlos Ibanez del Campo ,1 ,0 0 1 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
SEREMI De Magallanes y la Antartica Chilena ,0 ,0 0 0 0 ,0 ,0 ,0 ,0 0 ,0 0 0 
Total pais ,25 ,0 0 10 10 ,2 ,1 ,0 ,1 1 ,0 0 0 
