Region,Poblacion,Confirmados,Tasaincidencia
Pirque ,30433 ,4 ,13.1 
Providencia ,157749 ,104 ,65.9 
Pudahuel ,253139 ,44 ,17.4 
Puente Alto ,645909 ,119 ,18.4 
Quilicura ,254694 ,51 ,20.0 
Quinta Normal ,136368 ,41 ,30.1 
Recoleta ,190075 ,44 ,23.1 
Renca ,160847 ,19 ,11.8 
San Bernardo ,334836 ,74 ,22.1 
San Joaquin ,103485 ,36 ,34.8 
San Jose de Maipo ,18644 ,- ,16.1 
San Migue ,133059 ,49 ,36.8 
San Pedro ,11953 ,- ,0.0 
San Ramon ,86510 ,9 ,10.4 
Santiago ,503147 ,234 ,46.5 
Talagante ,81838 ,11 ,13.4 
Tiltil ,21477 ,- ,14.0 
Vitacura ,96774 ,114 ,117.8 
Por determinar ,,42 ,
Total ,8125072 ,2244 ,27.6 
