,,,,,,Numero,deCasossegun,,FechadeInicio,deSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE 9 10 ,SE SE 11 12 ,SE SE SE 13 14 15 ,SE 16 ,SE SE 17 18 ,SE SE SE SE SE SE 19 20 21 22 23 24 
Antartica ,137 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 0 ,0 0 ,0 O 0 ,O ,0 0 ,0 0 0 0 0 O 
Cabo de Hornos ,1983 ,21 ,1059.0 ,O ,0.0 ,O ,0.0 ,O O ,2 6 ,4 1 6 ,O ,O O ,1 O 1 O O O 
Laguna Blanca ,264 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O O O ,O ,O O ,O O O O O O 
Natales & ,23782 ,14 ,58.9 ,0 ,0.0 ,O ,0.0 ,O O ,1 3 ,2 0 1 ,1 ,0 2 ,0 2 2 O O O 
Porvenir ,7323 ,9 ,122.9 ,0 ,0.0 ,O ,0.0 ,0 0 ,0 0 ,3 1 2 ,2 ,0 0 ,1 0 0 0 0 0 
Primavera ,694 ,1 ,144.1 ,O ,0.0 ,O ,0.0 ,O 0 ,O O ,O 0 1 ,O ,0 O ,0 O 0 O 0 O 
Punta Arenas & ,141984 ,1039 ,731.8 ,37 ,26.1 ,37 ,26.1 ,O 2 ,6 65 ,121 146 153 ,132 ,85 108 ,82 51 49 22 17 O 
Rio Verde ,211 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O O ,O O 0 ,O ,0 0 ,0 O O 0 O O 
San Gregorio ,681 ,2 ,293.7 ,O ,0.0 ,O ,0.0 ,0 0 ,0 O ,O 0 0 ,0 ,0 O ,2 0 0 0 0 O 
Timaukel ,282 ,0 ,0.0 ,0 ,0.0 ,O ,0.0 ,O O ,O O ,O 0 0 ,O ,0 O ,O O 0 O 0 O 
Torres del Paine ,1021 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O ,O O ,O O 0 ,O ,O O ,0 O O O O O 
Total ,178362 ,1086 ,608.9 ,37 ,20.7 ,37 ,20.7 ,0 2 ,9 74 ,130 148 163 ,135 ,85 110 ,86 53 52 22 17 0 
