,,,,,,,,,Numerode,CasossegunFechade,Iniciode,Sintomas.,NotificacionoToma,deMuestra,,,,
,,Numero de ,Tasa ,Numero ,Tasa de ,Numero ,Tasa de ,Numero ,Tasa de ,SE SE SE SE ,SE SE ,SE SE ,SE SE SE ,SE SE ,SE ,SE SE ,SE ,SE SE 
Comuna ,Poblacion ,Casos Confirmados ,incidencia acumulada ,de Fallecidos ,Mortalidad ,de Casos Actuales ,Incidencia Actual ,de Casos Activos ,Incidencia Activos ,9 10 11 12 ,13 14 ,15 16 ,17 18 19 ,20 21 ,22 ,23 24 ,25 ,26 27 
Alto Biobio ,6775 ,162 ,2391.1 ,O ,0.0 ,8 ,118.1 ,8 ,118.1 ,O O O 0 ,O 0 ,O O ,0 0 O ,7 45 ,55 ,31 12 ,10 ,2 O 
Antuco ,4306 ,47 ,1091.5 ,0 ,0.0 ,15 ,348.4 ,15 ,348.4 ,0 0 0 0 ,0 O ,O 0 ,0 0 2 ,2 1 ,13 ,2 5 ,17 ,5 0 
Arauco ,38679 ,242 ,625.7 ,1 ,2.6 ,99 ,256.0 ,99 ,256.0 ,0 O 1 2 ,2 1 ,O 0 ,O 5 4 ,14 17 ,24 ,22 32 ,65 ,53 0 
Cabrero& ,30725 ,114 ,371.0 ,O ,0.0 ,27 ,87.9 ,27 ,87.9 ,0 O O 1 ,O 4 ,3 7 ,1 3 4 ,2 3 ,3 ,8 23 ,35 ,14 3 
Canete ,37003 ,33 ,89.2 ,O ,0.0 ,8 ,21.6 ,8 ,21.6 ,O 0 0 O ,O O ,O O ,O 0 O ,1 9 ,4 ,7 1 ,7 ,4 O 
Chiguayante& ,91180 ,323 ,354.2 ,7 ,7.7 ,68 ,74.6 ,68 ,74.6 ,0 0 5 5 ,9 16 ,11 10 ,12 8 7 ,9 9 ,26 ,40 60 ,52 ,43 1 
Concepcion& ,238092 ,1172 ,492.2 ,18 ,7.6 ,273 ,114.7 ,272 ,114.2 ,1 1 7 28 ,30 23 ,22 18 ,14 19 19 ,21 91 ,99 ,132 251 ,252 ,137 7 
Contulmo ,6330 ,40 ,631.9 ,O ,0.0 ,35 ,552.9 ,35 ,552.9 ,0 0 0 O ,O O ,O O ,0 0 0 ,O 1 ,1 ,O O ,11 ,27 0 
Coronel& ,125829 ,848 ,673.9 ,3 ,2.4 ,251 ,199.5 ,251 ,199.5 ,O 0 1 6 ,7 4 ,1 0 ,5 2 14 ,15 50 ,130 ,112 152 ,219 ,125 5 
Curanilahue ,33892 ,59 ,174.1 ,1 ,3.0 ,23 ,67.9 ,23 ,67.9 ,0 0 0 1 ,0 0 ,O 0 ,0 1 3 ,O 2 ,4 ,11 9 ,17 ,11 0 
Florida ,11841 ,30 ,253.4 ,2 ,16.9 ,11 ,92.9 ,11 ,92.9 ,0 0 0 0 ,2 1 ,O 0 ,0 0 2 ,O 2 ,0 ,0 7 ,7 ,9 0 
Hualpen ,97273 ,436 ,448.2 ,3 ,3.1 ,123 ,126.4 ,122 ,125.4 ,0 0 3 23 ,33 27 ,17 8 ,2 6 11 ,9 17 ,29 ,24 69 ,80 ,77 1 
Hualqui ,26201 ,142 ,542.0 ,3 ,11.4 ,53 ,202.3 ,53 ,202.3 ,O 0 1 1 ,2 3 ,4 9 ,0 1 2 ,5 12 ,7 ,13 17 ,38 ,25 2 
Laja ,23873 ,131 ,548.7 ,0 ,0.0 ,42 ,175.9 ,42 ,175.9 ,0 1 1 0 ,3 1 ,1 1 ,5 1 17 ,20 8 ,7 ,8 10 ,16 ,22 9 
Lebu ,27100 ,30 ,110.7 ,O ,0.0 ,6 ,22.1 ,6 ,22.1 ,0 0 0 0 ,0 0 ,0 0 ,0 1 1 ,O O ,6 ,6 5 ,8 ,3 O 
Los Alamos ,22524 ,71 ,315.2 ,O ,0.0 ,49 ,217.5 ,49 ,217.5 ,0 0 0 O ,0 0 ,1 0 ,0 1 0 ,1 O ,3 ,4 4 ,39 ,18 0 
Los Angeles& ,218515 ,736 ,336.8 ,3 ,1.4 ,200 ,91.5 ,199 ,91.1 ,0 0 3 6 ,9 6 ,5 4 ,0 4 32 ,64 90 ,79 ,89 90 ,132 ,117 6 
Lota& ,45750 ,254 ,555.2 ,1 ,2.2 ,98 ,214.2 ,98 ,214.2 ,0 0 0 1 ,0 1 ,0 O ,0 1 16 ,10 15 ,21 ,22 43 ,67 ,53 4 
Mulchen ,31041 ,62 ,199.7 ,O ,0.0 ,29 ,93.4 ,29 ,93.4 ,0 0 0 1 ,4 O ,O 0 ,0 2 3 ,1 1 ,11 ,3 3 ,12 ,20 1 
Nacimiento ,27944 ,113 ,404.4 ,3 ,10.7 ,35 ,125.3 ,35 ,125.3 ,0 0 0 2 ,3 3 ,2 0 ,1 3 8 ,4 8 ,7 ,5 20 ,29 ,18 0 
