,,,,,,Numerode,Casossegun,FechadeIniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE 9 10 11 12 ,SE SE SE 13 14 15 ,SE SE SE 16 17 18 ,SE 19 ,SE 20 ,SE SE SE 21 22 23 
Andacollo ,11791 ,13 ,110.3 ,1 ,8.5 ,1 ,8.5 ,0 0 0 0 ,0 0 0 ,0 0 2 ,7 ,3 ,O 1 0 
Canela ,9546 ,2 ,21.0 ,0 ,0.0 ,0 ,0.0 ,0 0 0 0 ,0 O 0 ,0 0 1 ,O ,1 ,O 0 0 
Combarbala & ,13884 ,14 ,100.8 ,3 ,21.6 ,3 ,21.6 ,O O O O ,O O O ,O O 2 ,3 ,4 ,2 3 0 
Coquimbo ,256735 ,202 ,78.7 ,17 ,6.6 ,16 ,6.2 ,O 0 4 13 ,3 1 1 ,4 7 14 ,77 ,57 ,14 7 O 
Illapel ,32801 ,25 ,76.2 ,5 ,15.2 ,5 ,15.2 ,0 O O O ,4 7 7 ,O O 1 ,O ,O ,2 4 0 
La Higuera ,4450 ,1 ,22.5 ,1 ,22.5 ,1 ,22.5 ,0 O 0 O ,O O O ,O O 0 ,O ,O ,O 1 0 
La Serena ,249656 ,186 ,74.5 ,60 ,24.0 ,60 ,24.0 ,O O 1 3 ,6 4 2 ,2 5 13 ,48 ,40 ,41 21 O 
LOs Vilos ,23374 ,4 ,17.1 ,2 ,8.6 ,2 ,8.6 ,O O O 1 ,O O O ,O O 0 ,O ,O ,3 O O 
Monte Patria & ,32527 ,43 ,132.2 ,20 ,61.5 ,20 ,61.5 ,O O O O ,O O O ,O O 1 ,6 ,15 ,17 4 0 
Ovalle ,121269 ,137 ,113.0 ,50 ,41.2 ,50 ,41.2 ,O O 2 2 ,4 1 O ,1 1 12 ,22 ,41 ,33 18 0 
Paiguano ,4675 ,2 ,42.8 ,2 ,42.8 ,2 ,42.8 ,0 O 0 O ,0 O O ,0 O 0 ,0 ,O ,1 1 O 
Punitaqui ,12165 ,14 ,115.1 ,3 ,24.7 ,3 ,24.7 ,O O O O ,O O O ,1 1 3 ,6 ,O ,1 2 0 
Rio Hurtado ,4372 ,5 ,114.4 ,3 ,68.6 ,3 ,68.6 ,O O O 1 ,O O O ,O O 1 ,O ,O ,O 3 O 
Salamanca & ,29110 ,19 ,65.3 ,6 ,20.6 ,6 ,20.6 ,O O O 1 ,2 1 2 ,1 O 3 ,1 ,2 ,3 3 0 
Vicuna ,29741 ,14 ,47.1 ,2 ,6.7 ,2 ,6.7 ,0 0 0 O ,0 0 0 ,O 1 2 ,5 ,3 ,3 0 0 
Total ,836096 ,681 ,81.4 ,175 ,20.9 ,174 ,20.8 ,0 0 7 21 ,19 14 12 ,9 15 55 ,175 ,166 ,120 68 0 
