ES6'I98801Itt'9t,SET'EZ,ZSLLZ,t00'te,ZS9'EE,LII'TE09908,Z6t'EZ,t6t'Zt,8t8'S6687816'ISLt'TIEI'IEE0I,OsE899T,8'LOZ,$88'91,L'8oz,996'9t,8'08,19S'9,S'EEZE,SZL'Z9Z,ZLO'SZI'8,je1ot
6S8 848 SSTI ,ZtLt ,OZLI ,I8LI ,LZIZ ,9487 7I97 ,St9t ,6LL ,86S 798 SLT SS SI II ,9 0 0 ,- ,OTST ,,OISI ,- ,0 ,- ,96881 ,,gop!ouoosag 
9 68 LL ,76 ,96 ,tEt ,8t[ ,981 ZIZ ,6SI ,9S ,ET S L tt 67 Os ,7E 9 0 ,7'69 ,L9 ,7'69 ,49 ,9'6t ,8t7 ,t7'90tt ,I9ET ,tLL'96 ,geinpetn 
Z ZE tt ,OS ,19 ,76 ,19 ,8S Et ,tE ,II ,S 9 I Z I ,0 0 0 ,s'60z ,St ,s'607Z ,St ,9'9t ,OT ,t'ISE7 ,SOS ,LLT'IZ ,IIL 
8 86 E8I ,SO7 ,077 ,98T ,ESI ,SZI s6 ,6S ,tt ,OT OT E L 8 t ,0 0 0 ,17'68T ,SSI ,9'06t ,9SI ,6'6S ,6t ,L'ZELI ,8It[ ,888'18 ,gatuesejet 
tOt It 809 ,856 ,I8II ,Stt[ ,609I ,ZE8I tL9T ,6491 ,IS6 ,688 SLI 89T OST SOT 001 ,67 E I ,8'tET ,849 ,I'SET ,089 ,6'9t ,987 ,t'TOLZ ,Z6SET ,LTT'EOS ,goeques 
SZ ZSI 707 ,908 ,O7t ,6SS ,8St ,EES ESS ,9Stz ,0S7 ,06 7t ET II II Z ,I 0 0 ,9'ILZ ,SEZ ,8'ZL7 ,987 ,E'ost ,OEI ,8'074t ,t80t ,OIS'98 ,guouesues 
Z LI 67 ,IE ,OI ,87 ,IZ ,9I 91 ,6 ,L ,OL Z 0 0 0 0 ,0 0 0 ,L'L9Z ,7E ,L'L97 ,7E ,I'SZ ,E ,S'9s9t ,86I ,ES6'II ,oupadues 
EE E8T 897 ,7St ,L8t ,Lt9 ,109 ,IT9 60S ,Itt ,7Z07 ,8L 6t Lt 87 87 L7 ,E 0 I ,7'9zz ,TOE ,L'LZZ ,808 ,6'8L ,SOT ,O'TZSE ,$89t ,6S0'EEI ,glenawues 
E t7 Ot ,7t ,19 ,LL ,49 ,76 SS ,8t7 ,t7 ,S I E Z C I ,I 0 0 ,L'L8T ,SE ,L'L8T ,SE ,7'T6 ,LI ,E'6E6Z ,8tS ,tt9'8I ,godjew ap asorues 
tt S9T 097 ,ZSE ,ILt ,OLS ,L8t ,6St St9 ,tOS ,LZ7 ,18 tt tE tI EZ 9T ,I 0 0 ,8'8L7 ,887 ,7'087 ,067 ,L't7t ,67T ,8'TSCt ,O0tt ,S8t'EOT ,guinbeor ues 
6S 7Lt 808 ,L90T ,LZZI ,SEtI ,L6ZI ,690T 468 ,099 ,ItE ,E9T t7t 6L 99 It t7 ,9 I 0 ,s'9tz ,SZL ,t'Lt ,87L ,S'8L ,897 ,1'9867 ,1E86 ,988'T88 ,ues 
88 968 98S ,t68 ,86L ,0t8 ,t8L ,1E8 LEL ,889 ,867 ,TIT 89 SE 6 II L ,t 0 0 ,t'LE ,66S ,O'ELE ,009 ,Z'EIT ,78I ,9'868t ,SLOL ,L18'091 ,gepues 
SE 8IZ 067 ,96t ,E8S ,ZLL ,698 ,886 IZIT ,E8II ,6EL ,S87 9II 9t Ot 8I tI ,L 0 0 ,9'E9T ,ITE ,9'89t ,IIE ,0'ttt ,897 ,7'ttIt ,078L ,S40'06I ,gerajope8 
6t Zo7 SIE ,It ,6ES ,t99 ,tEL ,tOL 78S ,79t ,S97 ,00T ES IS Ot L7 tI ,9 Z I ,0'7t7 ,OEE ,L'ZtZ ,IEE ,L'ZOt ,OtI ,I'0E8E ,EZZS ,898'98T ,
St 697 868 ,Lt9 ,$88 ,S60T ,980T ,t68 ts6 ,818 ,tSS ,878 ZtI St tt IE 07 ,E E 0 ,S't9t ,6It ,6't9t ,Out ,6'st ,LII ,6'8ZZ8 ,11Z8 ,t69tS7 ,geinouino 
L6 898 8Ztt ,ZL8T ,ZLEZ ,8787 ,06S7 ,OLSZ TOZZ ,89SI ,898 ,648 EEE 807 t8t tOt t9 ,ZI E Z ,6'807 ,LIET ,8't07 ,EZEI ,t7'89 ,Ztt ,1'6LE ,98S07 ,606'St9 ,vauand 
Lt tEE OIS ,tSL ,EL8 ,878I ,097I ,787I TIOI ,499 ,998 ,88I 9t Et 88 L7 07 ,E I I ,E'86T ,ZOS ,L'86T ,EOS ,S'IL ,I8I ,t'LStE ,7S48 ,68IESZ ,glanyepnd 
08 EZT ZLI ,L07Z ,TEZ ,E67 ,67t ,768 8IE ,t87 ,S6 ,Ot Et SE t7 77 t9 ,87 E 0 ,E'ZZt ,E6T ,0'EZT ,t6t ,E'ZL ,tie ,6'S6LI ,EE8Z ,6tL'4SI ,gepuapinoud 
L 0L LL ,18 ,ZII ,LII ,OST ,I9T ZL ,8S ,88 ,LI S S I E I ,E I 0 ,E'sze ,66 ,9'878 ,001 ,9'sz ,EZ ,8'9778 ,786 ,88t'0E ,ganbi!d 
L9 ZLE 89S ,I78 ,6L01 ,SIt[ ,ILST ,tE9T SZET ,696 ,Not ,EZI IL ES It 98 O8 ,6 Z I ,9'ouz ,799 ,I'ziz ,999 ,0'86 ,817 ,6'8968 ,68S01 ,864'997 ,guoojeyed 
77 SIT SOZ ,678 ,Lt8 ,St8 ,OTE ,808 OIZ ,60T ,8S ,87 SI Ot 9 6 E ,S Z I ,I'8LI ,08I ,I'6LI ,I8I ,I'E8 ,t8 ,S'IItz ,LETT ,8SO'TOT ,goueyad 
9t I8T LIZ ,SEE ,67t ,SLS ,OIS ,768 Let ,898 ,08t ,EL Z8 Lt SZ ST 9 ,E 0 0 ,6'TEZ ,0SZ ,9'sE7 ,tS7 ,6'tST ,L9T ,I'6tSE ,9788 ,E08'LOT ,gepuap 
IZ OST 761 ,907 ,987 ,ILZ ,ESI ,ZEI S8 ,E8 ,67 ,9 E 8 t 0 Z ,0 I 0 ,1'9s7 ,ZIZ ,8'6S7 ,SIZ ,L'88 ,ZE ,t'T6 ,78SI ,994'78 ,gaued 
8I 86 ILI ,S8I ,tEZ ,8L7 ,ZEZ ,98Z OLI ,86 ,09 ,91 Ot EI S OL S ,0 I 0 ,6't07 ,ZSI ,7'907 ,EST ,0'79 ,9t ,7'08t7 ,0t8[ ,88I'tL ,
0t SLI t08 ,t7t ,79S ,IL9 ,099 OSL ,tes ,898 ,ESI ,O/ L9 8t 8t 7t SS ,L7 I I ,I'SIT ,887 ,S'SIt ,687 ,S'LL ,t6t ,S'866T ,000S ,Z6T0SZ ,geounn 
68 097 one ,OSt ,ZIt ,ILt ,6Lt ,0SE ZIZ ,90T ,S8 ,LE t7 8 S S 9 ,I I 0 ,0'697 ,18E ,0'697 ,18E ,I'ss ,8L ,0'tzez ,16Z8 ,ZI9'ItI ,geildyaw 
L SZ St ,87 ,97 ,Ot ,LE 98 ,t7 ,81 ,Z ,Z 0 I 0 0 0 ,0 0 0 ,8't67 ,tt ,8't67 ,tt ,8'97 ,t ,9'6t61 ,16Z ,976'tI ,gou!d euew 
78 109 6t6 ,Z971 ,9t9I ,8S8I ,6891 ,Z9SI OEET ,906 ,6Zt ,SSI LIT 96 88 EL OS ,ET I 0 ,7'9st ,t06 ,6'9S1 ,806 ,6'6t ,687 ,8'6277 ,706Z1 ,$09'8LS ,gndjew 
EE ESI TSZ ,8L8 ,6St ,089 ,ISS ,4E9 EES ,88t ,061 ,6L EZ tt 07 EZ LI ,E I 0 ,Z'L8T ,ZS7 ,L'88T ,tS7 ,8't6 ,LZI ,8't678 ,98tt ,SE9'TET ,ginpew 
LE 691 ,488 ,08t ,87S ,II9 ,tOs L6t ,ZSE ,961 ,SOT IE t7 9T IZ 9 ,E 0 0 ,0'osz ,19Z ,6'7s7 ,t97 ,O'8tt ,8II ,t'880t ,IIZt ,EOt'tOT ,gopeid o] 
