,Hospitalizados,,Sin,Hospitalizacion
Signos / Sintoma ,No ,% ,No ,% 
Tos ,24646 ,61.1 ,218116 ,52.8 
Fiebre ,18578 ,46.0 ,136051 ,32.9 
Mialgia ,17726 ,43.9 ,220819 ,53.5 
Disnea ,16605 ,41.1 ,42101 ,10.2 
Cefalea ,14438 ,35.8 ,240084 ,58.1 
Odinofagia ,7267 ,18.0 ,133840 ,32.4 
Taquipnea ,4821 ,11.9 ,3800 ,0.9 
Dolor toracico ,4675 ,11.6 ,35137 ,8.5 
Otros ,4547 ,11.3 ,41451 ,10.0 
Diarrea ,3589 ,8.9 ,41479 ,10.0 
Dolor abdominal ,2796 ,6.9 ,24667 ,6.0 
Anosmia ,2415 ,6.0 ,75378 ,18.2 
Ageusia ,2119 ,5.2 ,59734 ,14.5 
Postracion ,857 ,2.1 ,1953 ,0.5 
Cianosis ,782 ,1.9 ,332 ,0.1 
