,,,,,,,Numero,deCasos,segunFecha,deInicio,deSintomas,,,,
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE 9 (23 al 29 de febrero) ,SE 10 (1 al 7 de marzo) ,SE 11 (8 al 14 de marzo) ,SE 12 (15 al 21 de marzo) ,SE 13 (22 al 28 de marzo) ,SE 14 (29 de marzo al 4 de abril) ,SE 15 (5 de abril al 11 de abril) ,SE 16 (12 de abril al 18 de abril) 
Alto Biobio ,6775 ,1 ,14.8 ,0 ,0.0 ,0 ,0.0 ,O ,0 ,0 ,1 ,O ,0 ,0 ,O 
Antuco ,4306 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,0 ,0 ,O ,O ,0 ,O 
Arauco ,38679 ,5 ,12.9 ,0 ,0.0 ,O ,0.0 ,O ,0 ,1 ,1 ,2 ,1 ,O ,O 
Cabrero ,30725 ,8 ,26.0 ,4 ,13.0 ,4 ,13.0 ,0 ,O ,0 ,1 ,O ,4 ,3 ,O 
Canete ,37003 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O ,O ,0 ,0 ,0 ,0 ,0 ,O 
Chiguayante ,91180 ,37 ,40.6 ,13 ,14.3 ,13 ,14.3 ,O ,O ,3 ,6 ,6 ,17 ,5 ,O 
Concepcion ,238092 ,130 ,54.6 ,47 ,19.7 ,46 ,19.3 ,O ,1 ,7 ,33 ,35 ,31 ,19 ,4 
Contulmo ,6330 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,0 ,O ,O ,0 ,O 
Coronel ,125829 ,15 ,11.9 ,2 ,1.6 ,2 ,1.6 ,O ,O ,0 ,3 ,7 ,4 ,1 ,0 
Curanilahue ,33892 ,1 ,3.0 ,0 ,0.0 ,0 ,0.0 ,0 ,O ,0 ,1 ,O ,0 ,0 ,0 
Florida ,11841 ,4 ,33.8 ,1 ,8.4 ,1 ,8.4 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,0 
Hualpen ,97273 ,65 ,66.8 ,25 ,25.7 ,24 ,24.7 ,0 ,1 ,0 ,5 ,25 ,24 ,8 ,2 
Hualqui ,26201 ,9 ,34.3 ,5 ,19.1 ,5 ,19.1 ,O ,O ,1 ,1 ,2 ,4 ,1 ,0 
Laja ,23873 ,7 ,29.3 ,1 ,4.2 ,1 ,4.2 ,O ,1 ,1 ,0 ,4 ,0 ,1 ,O 
Lebu ,27100 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,0 ,O ,O ,0 ,O ,O 
Los Alamos ,22524 ,O ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0 ,O ,O ,O ,O ,0 ,O 
Los Angeles ,218515 ,25 ,11.4 ,1 ,0.5 ,1 ,0.5 ,O ,O ,2 ,4 ,12 ,6 ,1 ,O 
Lota ,45750 ,1 ,2.2 ,0 ,0.0 ,O ,0.0 ,O ,O ,0 ,1 ,O ,0 ,0 ,O 
Mulchen ,31041 ,5 ,16.1 ,0 ,0.0 ,O ,0.0 ,0 ,0 ,0 ,1 ,4 ,O ,0 ,O 
Nacimiento ,27944 ,10 ,35.8 ,5 ,17.9 ,5 ,17.9 ,0 ,O ,0 ,2 ,3 ,3 ,2 ,0 
