,,,,,,Numerode,Casossegun,FechadeIniciodeSintomas,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 ,SE 17 ,SE SE 18 19 
Cauquenes ,44143 ,26 ,58.9 ,10 ,22.7 ,10 ,22.7 ,0 O 0 O 2 3 1 5 ,2 ,1 3 
Chanco ,9331 ,3 ,32.2 ,0 ,0.0 ,0 ,0.0 ,0 O O O 1 O 0 1 ,1 ,O 0 
Colbun ,22565 ,19 ,84.2 ,9 ,39.9 ,9 ,39.9 ,O O O O 3 3 0 O ,0 ,1 4 
Constitucion ,50348 ,28 ,55.6 ,4 ,7.9 ,4 ,7.9 ,0 0 0 0 3 3 5 7 ,4 ,1 2 
Curepto ,9426 ,12 ,127.3 ,2 ,21.2 ,2 ,21.2 ,O O O O O 3 2 3 ,O ,1 1 
Curico ,163626 ,116 ,70.9 ,51 ,31.2 ,50 ,30.6 ,O 1 3 3 6 3 12 9 ,10 ,9 17 
Empedrado ,4206 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O O 0 O O 0 O ,O ,O O 
Hualane ,10222 ,1 ,9.8 ,1 ,9.8 ,1 ,9.8 ,0 O O 0 O O 0 O ,0 ,O O 
Licanten ,6989 ,2 ,28.6 ,0 ,0.0 ,O ,0.0 ,0 O O O O 1 0 1 ,O ,0 O 
Linares ,101073 ,60 ,59.4 ,21 ,20.8 ,21 ,20.8 ,1 O O 2 5 5 4 6 ,3 ,4 13 
Longavi ,32810 ,19 ,57.9 ,11 ,33.5 ,11 ,33.5 ,0 O 0 1 0 1 1 1 ,0 ,2 5 
Maule ,60000 ,36 ,60.0 ,11 ,18.3 ,11 ,18.3 ,0 O O 1 1 2 6 12 ,2 ,O 3 
Molina ,49800 ,10 ,20.1 ,2 ,4.0 ,2 ,4.0 ,0 O O 1 2 0 1 3 ,0 ,0 1 
Parral ,44544 ,21 ,47.1 ,8 ,18.0 ,8 ,18.0 ,O O O 1 3 2 2 1 ,0 ,O 5 
Pelarco ,9083 ,17 ,187.2 ,8 ,88.1 ,8 ,88.1 ,O O O O O O 3 2 ,0 ,2 4 
Pelluhue ,8092 ,10 ,123.6 ,7 ,86.5 ,7 ,86.5 ,0 O O 1 O O 1 O ,O ,0 1 
Pencahue ,8601 ,3 ,34.9 ,O ,0.0 ,O ,0.0 ,0 0 O O O 0 0 3 ,0 ,0 0 
Rauco ,11248 ,4 ,35.6 ,1 ,8.9 ,1 ,8.9 ,O O O O 1 1 0 1 ,0 ,O 1 
Retiro ,21071 ,3 ,14.2 ,1 ,4.7 ,1 ,4.7 ,0 0 0 0 O 0 1 O ,0 ,1 0 
Rio Claro ,14753 ,13 ,88.1 ,2 ,13.6 ,2 ,13.6 ,0 O O 2 O 1 1 3 ,2 ,O 2 
