Comuna,Poblacion,NumerodeCasosConfirmados,Tasaincidenciaacumulada,NumerodeFallecidos,TasadeMortalidad,NumerodeCasosActuales,TasadeIncidenciaActual,NumerodeCasosActivos,TasadeIncidenciaActivos
Cauquenes ,44143 ,386 ,874.4 ,7 ,15.9 ,61 ,138.2 ,61 ,138.2 
Chanco ,9331 ,43 ,460.8 ,0 ,0.0 ,13 ,139.3 ,13 ,139.3 
Colbun ,22565 ,165 ,731.2 ,0 ,0.0 ,24 ,106.4 ,24 ,106.4 
Constitucion ,50348 ,270 ,536.3 ,3 ,6.0 ,52 ,103.3 ,52 ,103.3 
Curepto ,& 9426 ,41 ,435.0 ,2 ,21.2 ,3 ,31.8 ,3 ,31.8 
Curico ,& 163626 ,1833 ,1120.2 ,28 ,17.1 ,192 ,117.3 ,192 ,117.3 
Empedrado ,4206 ,29 ,689.5 ,0 ,0.0 ,2 ,47.6 ,2 ,47.6 
Hualane ,10222 ,113 ,1105.5 ,2 ,19.6 ,0 ,0.0 ,0 ,0.0 
Licanten ,6989 ,20 ,286.2 ,1 ,14.3 ,1 ,14.3 ,1 ,14.3 
Linares ,101073 ,591 ,584.7 ,9 ,8.9 ,98 ,97.0 ,98 ,97.0 
Longavi ,& 32810 ,254 ,774.2 ,2 ,6.1 ,25 ,76.2 ,25 ,76.2 
Maule ,& 60000 ,370 ,616.7 ,2 ,3.3 ,65 ,108.3 ,65 ,108.3 
Molina ,49800 ,236 ,473.9 ,9 ,18.1 ,32 ,64.3 ,31 ,62.2 
Parral ,& 44544 ,261 ,585.9 ,2 ,4.5 ,20 ,44.9 ,20 ,44.9 
Pelarco ,9083 ,66 ,726.6 ,1 ,11.0 ,23 ,253.2 ,23 ,253.2 
Pelluhue ,8092 ,60 ,741.5 ,2 ,24.7 ,1 ,12.4 ,1 ,12.4 
Pencahue ,8601 ,52 ,604.6 ,0 ,0.0 ,7 ,81.4 ,7 ,81.4 
Rauco ,& 11248 ,86 ,764.6 ,0 ,0.0 ,21 ,186.7 ,21 ,186.7 
Retiro ,21071 ,133 ,631.2 ,0 ,0.0 ,3 ,14.2 ,3 ,14.2 
Rio Claro ,14753 ,75 ,508.4 ,5 ,33.9 ,2 ,13.6 ,2 ,13.6 
Romeral ,& 16170 ,234 ,1447.1 ,3 ,18.6 ,16 ,98.9 ,16 ,98.9 
