,,,,,,NumerodeCasos,segunFecha,de,IniciodeSintomas
Region ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa Incidencia Actual ,de Casos Activos ,Incidencia Activos ,9 ,10 11 12 13 14 
Aisen ,25002 ,1 ,4.0 ,O ,0.0 ,,,,
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O ,O O O O 1 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,,,,
Cochrane ,3685 ,O ,0.0 ,O ,0.0 ,,,,
Coyhaique ,61210 ,3 ,4.9 ,1 ,1.6 ,,,,
Guaitecas ,1599 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O O O O O 
Lago Verde ,920 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O O O O O 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,,,,
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O O O O O 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,O O O O O 
Total ,107297 ,5 ,4.7 ,1 ,0.9 ,1 ,0.9 ,0 ,0 2 0 0 2 
