,,,,,,,,Numero,deCasos,segunFechadeIniciodeSintomas
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Fallecidos ,Tasa de mortalidad ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE SE 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 
Aisen ,25002 ,4 ,16.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,0 0 1 O O 0 0 0 0 O O O 1 2 0 O 
Chile Chico ,5121 ,1 ,19.5 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O 0 1 0 0 0 O O 0 0 0 0 O 
Cisnes ,5828 ,O ,0.0 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 O 0 O O O O O O O O O O O O O 
Cochrane ,3685 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,0 ,0.0 ,O O 0 O O O O O O O O O O O 0 O 
Coyhaique ,61210 ,13 ,21.2 ,O ,0.0 ,2 ,3.3 ,2 ,3.3 ,O 0 1 O O 1 O 0 O O 1 O 5 3 2 O 
Guaitecas ,1599 ,O ,0.0 ,0 ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O O O O O 0 O O O O O 0 O 
Lago Verde ,920 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O 0 0 0 O O 0 0 0 0 O 0 0 O 0 0 
O'Higgins ,661 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O O O O O O O O O O O O 
Rio ibanez ,2699 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O O O O O O O O O O O 0 O 
Tortel ,572 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O 0 O O 0 O 0 O O O O O O O O 
Total ,107297 ,18 ,16.8 ,0 ,0.0 ,2 ,1.9 ,2 ,1.9 ,0 0 2 0 0 2 0 0 0 0 1 0 6 5 2 0 
