,Hospitalizados,,Sin,Hospitalizacion
Signos / Sintoma ,NO ,% ,No ,% 
Tos ,20282 ,61.4 ,204541 ,54.4 
Fiebre ,15529 ,47 ,129465 ,34.4 
Disnea ,14374 ,43.5 ,40588 ,10.8 
Mialgia ,14258 ,43.1 ,206216 ,54.8 
Cefalea ,11389 ,34.5 ,222351 ,59.1 
Odinofagia ,5700 ,17.2 ,123380 ,32.8 
Taquipnea ,4282 ,13.0 ,3800 ,1.0 
Otros ,3828 ,11.6 ,36875 ,9.8 
Dolor toracico ,3840 ,11.6 ,33549 ,8.9 
Diarrea ,2926 ,8.9 ,38428 ,10.2 
Dolor abdominal ,2268 ,6.9 ,22727 ,6.0 
Anosmia ,1905 ,5.8 ,69739 ,18.5 
Ageusia ,1645 ,5 ,55331 ,14.7 
Postracion ,758 ,2.3 ,1867 ,0.5 
Cianosis ,705 ,2.1 ,329 ,0.1 
