,,,,,,Numero,deCasossegun,FechadeIniciode,Sintomas,,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE 14 15 ,SE SE SE 16 17 18 ,SE 19 ,SE 20 ,SE SE SE 21 22 23 
Chepica ,15925 ,8 ,50.2 ,1 ,6.3 ,1 ,6.3 ,O O O O O ,O O ,O O 0 ,O ,7 ,O 1 O 
Chimbarongo' & ,37696 ,19 ,50.4 ,2 ,5.3 ,2 ,5.3 ,O O O 1 1 ,O O ,O O 1 ,5 ,8 ,1 2 0 
Codegua ,14096 ,9 ,63.8 ,3 ,21.3 ,3 ,21.3 ,0 0 O 1 0 ,O O ,0 1 0 ,1 ,3 ,2 1 0 
Coinco ,7831 ,14 ,178.8 ,1 ,12.8 ,1 ,12.8 ,O O O O O ,O O ,0 1 0 ,4 ,7 ,2 O O 
Coltauco ,21263 ,25 ,117.6 ,1 ,4.7 ,1 ,4.7 ,O O O O O ,O O ,O O O ,15 ,8 ,2 O O 
Donihue ,22700 ,32 ,141.0 ,5 ,22.0 ,5 ,22.0 ,O O O O O ,O O ,1 0 4 ,9 ,12 ,6 O 0 
Graneros ,36504 ,45 ,123.3 ,5 ,13.7 ,5 ,13.7 ,O 0 0 0 0 ,O 0 ,O 3 7 ,13 ,17 ,5 0 0 
La Estrella ,3114 ,O ,0.0 ,O ,0.0 ,O ,0.0 ,O O O O O ,O O ,O O 0 ,O ,O ,O O O 
Las Cabras ,26749 ,15 ,56.1 ,2 ,7.5 ,2 ,7.5 ,O O O O O ,O 1 ,2 4 3 ,2 ,1 ,2 O O 
Litueche ,6765 ,11 ,162.6 ,0 ,0.0 ,0 ,0.0 ,O 0 0 0 0 ,0 0 ,1 5 2 ,2 ,1 ,O 0 0 
Lolol ,7289 ,3 ,41.2 ,0 ,0.0 ,0 ,0.0 ,O 0 0 0 0 ,O 0 ,0 0 0 ,1 ,2 ,O 0 0 
Machali ,59913 ,49 ,81.8 ,9 ,15.0 ,9 ,15.0 ,O O 1 4 1 ,O 4 ,0 5 3 ,7 ,13 ,8 3 0 
Malloa ,14163 ,4 ,28.2 ,1 ,7.1 ,1 ,7.1 ,O O O O O ,O O ,O O 0 ,1 ,2 ,O 1 0 
Marchihue ,7632 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,O O 0 O O ,0 0 ,O 0 0 ,0 ,0 ,O O 0 
Mostazal ,27462 ,16 ,58.3 ,4 ,14.6 ,4 ,14.6 ,O 0 0 O O ,0 O ,0 0 2 ,4 ,5 ,2 3 0 
Nancagua ,19141 ,13 ,67.9 ,2 ,10.4 ,1 ,5.2 ,O 0 0 O O ,O O ,O 0 1 ,1 ,9 ,1 1 0 
Navidad ,6904 ,11 ,159.3 ,0 ,0.0 ,0 ,0.0 ,O O O O O ,O 0 ,O 3 0 ,6 ,2 ,O 0 0 
Olivar ,14624 ,20 ,136.8 ,4 ,27.4 ,4 ,27.4 ,O O O O 1 ,2 2 ,1 O 0 ,8 ,2 ,3 1 O 
Palmilla ,13299 ,3 ,22.6 ,1 ,7.5 ,1 ,7.5 ,O 0 0 O O ,O 0 ,O O 0 ,O ,2 ,1 0 0 
