,,,,,,Numerode,CasossegunFecha,deIniciodeSintomas,,,
Comuna ,Poblacion ,Numero de Casos Confirmados ,Tasa incidencia acumulada ,Numero de Casos Actuales ,Tasa de Incidencia Actual ,Numero de Casos Activos ,Tasa de Incidencia Activos ,SE SE SE SE SE 9 10 11 12 13 ,SE SE SE 14 15 16 ,SE SE 17 18 ,SE SE SE SE SE 19 20 21 22 23 
Corral ,5447 ,18 ,330.5 ,5 ,91.8 ,5 ,91.8 ,0 O 0 O O ,O 0 1 ,0 O ,6 4 2 2 3 
Futrono ,15261 ,43 ,281.8 ,13 ,85.2 ,13 ,85.2 ,O O 0 1 3 ,1 O O ,O 0 ,1 5 19 8 5 
La Union ,39538 ,52 ,131.5 ,8 ,20.2 ,8 ,20.2 ,0 O 1 5 8 ,4 6 9 ,4 2 ,1 2 1 4 5 
Lago Ranco ,10292 ,2 ,19.4 ,0 ,0.0 ,O ,0.0 ,O O 0 1 1 ,O O O ,O O ,0 O 0 O O 
Lanco ,17652 ,10 ,56.7 ,1 ,5.7 ,1 ,5.7 ,O O O O 1 ,2 1 2 ,O 3 ,0 0 O 1 O 
LOs Lagos ,20518 ,24 ,117.0 ,11 ,53.6 ,11 ,53.6 ,0 O O O O ,O O O ,O O ,O 1 12 10 1 
Mafil ,7389 ,3 ,40.6 ,O ,0.0 ,O ,0.0 ,O O 0 1 O ,O O 1 ,O O ,0 1 O O O 
Mariquina ,23250 ,16 ,68.8 ,1 ,4.3 ,1 ,4.3 ,0 O 0 3 1 ,4 1 0 ,0 0 ,2 1 3 1 0 
Paillaco ,20798 ,25 ,120.2 ,2 ,9.6 ,2 ,9.6 ,0 O O 1 O ,O O O ,O O ,O 8 13 3 0 
Panguipull ,35991 ,33 ,91.7 ,23 ,63.9 ,23 ,63.9 ,O O O O O ,O O O ,O 1 ,O 4 4 8 16 
Rio Bueno' & ,32925 ,18 ,54.7 ,2 ,6.1 ,2 ,6.1 ,O O O 3 1 ,3 2 1 ,2 1 ,0 O 3 1 1 
& Valdivia ,176774 ,189 ,106.9 ,26 ,14.7 ,26 ,14.7 ,0 1 1 25 33 ,25 18 8 ,8 4 ,2 9 29 20 6 
Total ,405835 ,433 ,106.7 ,92 ,22.7 ,92 ,22.7 ,0 1 2 40 48 ,39 28 22 ,14 11 ,12 35 86 58 37 
