Comuna,Proporcioninvestigados,decasosantesde,nuevos48hrs,Proporciondecontactos,casosconidentificados,Proporcioninvestigados,decontactosantesde,nuevos48hrs
,Casos Nuevos ,Investigados ,% ,Casos con contactos ,% ,Contactos Nuevos ,Investigados ,% 
Corral ,- ,- ,- ,- ,- ,3 ,O ,00 
Futrono ,- ,- ,- ,- ,- ,1 ,1 ,100 
La Union ,3 ,3 ,100 ,3 ,100 ,6 ,6 ,100 
Lago Ranco ,1 ,1 ,100 ,1 ,100 ,-- ,- ,- 
Lanco ,- ,- ,- ,- ,- ,2 ,O ,00 
Los Lagos ,- ,- ,- ,- ,- ,- ,- ,- 
Mafil ,2 ,2 ,100 ,2 ,100 ,6 ,6 ,100 
Mariquina ,- ,- ,- ,- ,- ,- ,- ,- 
Paillaco ,- ,- ,- ,- ,- ,- ,- ,- 
Panguipulli ,4 ,4 ,100 ,1 ,250 ,5 ,5 ,100 
Rio Bueno ,14 ,14 ,100 ,8 ,571 ,21 ,18 ,857 
Valdivia ,42 ,42 ,100 ,25 ,595 ,127 ,121 ,953 
Total ,66 ,66 ,100 ,40 ,606 ,171 ,157 ,918 
